sample,STAT1,CXCL9,SMAD3,IFNG,KLRB1,TGFBR1,CD3D,ITGAM,CD163,GZMA,CD68,NKG7,MS4A4A,GNLY,TGFB1,CD8A,IDO1,IL10,CD14,CD79A,CD3E,PRF1,CXCL10,CD4,CD8B,CD2,MS4A1,CD19
TCGA-36-1581-01,9.0267,7.2466,3.773,0.9862,-0.1031,3.3192,3.8239,3.0234,5.1219,3.3017,7.1269,4.8871,3.3591,2.5972,5.2604,4.2396,5.037,1.2147,5.9823,5.4313,5.0211,2.6232,8.2913,5.4393,2.4805,4.5186,1.7617,1.7316
TCGA-H8-A6C1-01,5.5426,1.8604,4.4176,-5.5735,1.6695,3.2435,3.3605,3.5187,3.7496,1.7786,6.079,2.2813,2.7227,0.5666,4.8665,1.5854,3.0637,-3.458,5.2888,4.1203,3.4088,0.9789,2.081,4.2877,1.0847,2.9544,3.0411,1.5465
TCGA-ZJ-AAXJ-01,6.1231,2.8442,4.6277,-0.9132,0.3231,2.8321,3.5149,-1.3921,1.2576,2.4908,5.0108,2.2513,-0.9406,3.7302,4.0782,1.3283,4.9468,-2.4659,1.4441,1.5758,2.0673,-0.1187,3.0463,1.3283,-0.8599,1.5563,0.4233,-0.6643
TCGA-24-1557-01,7.0618,3.2677,3.837,-2.9324,-2.9324,2.9984,0.5666,2.2237,3.9365,-0.9971,6.8526,1.1897,2.5137,1.0779,4.5205,-1.9379,3.3047,0.2277,5.8868,-0.7834,0.9642,-1.3921,5.7608,4.1515,-0.2671,0.5955,-9.9658,-2.0529
TCGA-HU-8608-01,8.591,9.4457,4.554,2.4779,2.3479,3.8421,5.0597,2.9013,6.1488,5.4067,8.6414,6.0894,4.8115,4.854,5.7965,5.4954,10.0871,1.1577,6.073,5.5705,5.6591,5.1256,10.144,6.2479,3.7783,5.4842,2.6895,2.2663
TCGA-B0-5691-01,6.8825,4.991,4.9819,-2.2447,2.4623,5.1052,3.9051,3.2511,5.5031,4.1211,7.5494,4.8944,4.8064,2.8014,6.348,3.5994,5.8868,0.6699,6.2407,3.5411,4.6018,3.3421,5.3865,5.8233,2.5948,3.83,2.2175,0.3231
TCGA-F2-A7TX-01,7.7834,6.3315,5.9832,-0.013,0.8726,3.1507,4.4189,2.2051,6.3388,4.3883,6.9777,4.8324,4.8299,4.8992,4.8355,4.2142,8.3894,-0.1828,6.5163,3.5073,4.3709,3.4543,6.0179,4.8345,2.6161,4.1684,2.3451,0.7999
TCGA-CV-5430-01,7.9555,5.8946,6.0394,-1.4699,1.2023,3.4804,3.8769,2.5011,3.9663,3.0995,7.3079,3.7127,2.909,4.0427,5.711,3.1062,9.3696,-1.4699,4.7082,4.4575,4.5814,2.2113,7.419,5.0291,1.8957,4.0392,0.3573,0.2881
TCGA-BC-A8YO-01,8.04,7.6614,4.9444,0.8726,1.125,3.3979,4.1069,5.2623,3.9801,4.3477,7.3634,5.2777,3.7992,4.4503,4.0926,4.546,4.1604,-0.9971,6.3837,1.0222,4.2158,3.66,7.8895,5.0063,3.2572,4.0662,-1.5522,-2.5479
TCGA-DA-A1I1-06,8.7186,7.3635,2.9224,0.537,0.7493,5.8007,4.0977,3.8905,4.9915,3.9608,8.5395,4.905,3.4635,2.5213,6.2472,4.3082,4.7253,0.4657,7.2641,4.3364,4.8822,3.4752,7.2708,5.8597,2.5561,4.2951,1.3567,0.4552
TCGA-77-8140-01,5.4829,0.03,5.1343,-4.6082,-0.0877,2.036,1.5514,1.3167,2.8442,1.8801,4.3513,2.9205,1.5806,1.1117,3.9534,1.0711,1.6093,-2.8262,3.7571,4.0799,2.8422,1.3167,2.9186,2.824,0.547,1.8282,1.8762,0.8164
TCGA-HE-A5NF-01,6.4454,1.1641,3.5911,-4.6082,1.1577,3.2841,2.7444,3.1112,6.7174,3.2034,9.2608,3.2034,5.9759,0.1519,4.8615,1.9264,0.03,1.2333,7.8347,0.7058,3.6125,1.8484,1.683,5.8352,0.8408,2.9929,-1.3183,-1.9942
TCGA-D5-6540-01,6.3219,3.3731,4.6277,-2.8262,-0.8339,3.9746,2.8482,1.2271,3.2174,3.2944,7.108,3.7378,1.5064,4.8997,4.5516,2.5011,4.9869,-1.685,5.6896,-0.5756,3.0038,2.5238,4.9393,3.1261,2.4008,2.5585,-2.9324,-2.7274
TCGA-2G-AAF1-01,8.3101,7.7288,4.2951,0.9862,3.162,4.3972,5.7252,2.1411,5.5414,4.7929,8.1508,5.7453,4.4027,4.5608,5.7118,3.9242,5.6597,0.9568,6.2636,6.3593,6.3445,4.5808,7.3392,6.2277,3.5199,5.7377,5.0816,3.9468
TCGA-BH-A0DL-01,8.5061,6.5165,3.4739,1.3901,2.0147,3.2112,4.591,4.2465,6.4689,3.2481,7.3432,4.6083,4.5638,3.5608,4.722,3.0859,5.7722,0.5568,7.8055,4.3938,4.4417,1.7316,7.594,5.9568,1.5563,4.5571,1.5563,0.4125
TCGA-A2-A4S1-01,5.6224,2.4008,4.3097,-1.7809,1.1382,4.4894,2.8661,3.9755,7.4385,3.3966,7.7712,4.1628,5.3399,3.0808,8.4603,1.766,2.4934,-0.0425,9.1094,-1.8314,2.8381,0.7579,4.7159,6.3413,1.8801,2.4675,-4.035,-1.7809
TCGA-BP-4327-01,4.8997,2.7357,4.314,-3.3076,0.5763,3.83,2.6114,2.2452,4.9132,3.6566,7.6913,4.9303,3.7571,4.5009,5.9766,2.8158,6.3825,-3.0469,6.3695,0.9343,3.6782,3.6382,2.9525,4.5085,2.2019,2.7763,-2.5479,-3.816
TCGA-44-6775-01,6.26719612523,3.02280426312,3.65163884881,-0.833951985666,1.17909689209,4.87122313142,2.84820919994,5.02316954738,5.53036821786,1.9955370331,7.82955931143,1.2576421115,4.77033720983,1.4807573802,4.16383274331,1.71267006266,4.59302696634,-0.182777156837,6.21603439301,4.40946027243,3.06599728824,0.61445512876,4.21526132883,5.59445227263,0.0989261447198,3.38695106048,2.96923375866,0.401630298999
TCGA-QR-A6GW-01,4.7258,-1.1488,2.05,-5.5735,-0.2671,4.7835,0.8805,0.3115,4.696,-0.2328,5.1506,1.8201,3.2018,1.9859,3.9983,1.1577,4.0653,-1.685,6.8613,-1.1488,0.24,0.0854,-1.3183,2.7721,-2.5479,-0.1187,-3.1714,-3.458
