sample,STAT1,CXCL9,SMAD3,IFNG,KLRB1,TGFBR1,CD3D,ITGAM,CD163,GZMA,CD68,NKG7,MS4A4A,GNLY,TGFB1,CD8A,IDO1,IL10,CD14,CD79A,CD3E,PRF1,CXCL10,CD4,CD8B,CD2,MS4A1,CD19
TCGA-19-1787-01,6.6156,0.8488,4.0419,-5.0116,-2.2447,4.2943,1.0573,2.8582,5.0704,0.9642,7.3583,2.036,3.483,2.8916,5.6404,0.7999,0.0014,-0.1993,7.0972,-1.1488,1.642,2.5338,4.7088,5.6668,-0.5756,1.3109,-3.816,-2.3147
TCGA-S9-A7J2-01,4.6798,-3.816,3.9051,-9.9658,-4.6082,3.5911,-9.9658,2.0742,0.2998,-2.7274,4.9851,-0.3566,1.4388,-1.9942,4.905,-1.4305,-3.6259,-2.4659,5.2111,-2.4659,-4.035,-2.3884,-3.1714,3.7464,-0.7108,-3.458,-4.035,-2.9324
TCGA-G3-A3CH-11,5.6355,4.3758,1.6964,-2.2447,2.1313,1.5998,2.7444,0.1257,5.3349,2.9637,5.8814,4.2862,3.0411,1.4704,2.9071,2.9013,1.2209,-1.2828,8.6607,2.1638,3.6657,2.6487,4.8314,5.3551,1.614,2.6783,0.2998,-1.2481
TCGA-EK-A2RE-01,5.6473,1.8722,6.4291,-3.3076,-3.0469,3.8501,-1.1172,-0.0277,1.4756,-0.8863,6.4547,-2.6349,0.099,-0.3383,5.9704,-2.6349,3.506,-2.6349,3.2707,-2.3147,0.1903,-2.3147,4.4404,0.9343,-3.1714,-0.3022,-6.5064,-9.9658
TCGA-44-6778-01,8.0346,7.8017,3.4048,1.6234,2.6962,4.1604,5.6868,3.9487,7.6957,6.12,9.6935,6.3533,6.3744,5.3133,5.405,4.848,5.55,2.5338,7.7169,6.2401,5.9966,3.867,6.5884,7.0621,3.0498,5.6422,5.3999,3.2692
TCGA-F4-6854-01,6.0343,4.5293,3.2374,-0.4719,1.0503,2.9655,2.9692,0.6425,2.3106,2.824,6.8983,3.0757,1.4808,2.8701,4.1417,2.4544,3.3675,-2.114,4.6662,2.3592,3.0411,1.9895,4.5392,3.5486,1.6327,2.7889,-0.9686,-0.7588
TCGA-AB-2863-03,6.2331,-2.8262,4.3938,-4.6082,-0.2159,4.3555,1.7489,3.5411,4.6053,-0.4521,6.2077,6.7114,2.6232,-1.1488,5.6097,0.058,-9.9658,-0.0574,3.3535,1.7446,2.6533,-0.5973,-0.4325,2.4279,-1.0559,1.0915,2.5137,0.03
TCGA-C8-A1HL-01,5.3184,2.4623,3.5935,-5.0116,0.1388,4.0696,1.4652,1.2394,4.4357,1.9149,6.2419,1.4065,3.4907,-0.3022,4.9454,0.8726,-0.394,-0.8599,5.0713,-0.8339,1.7617,-0.5756,2.5338,3.9403,-0.1828,1.7403,-1.3921,-4.6082
TCGA-EW-A2FS-01,5.528,3.9099,2.9525,-2.2447,2.1509,2.7401,3.7061,1.934,3.2435,3.8993,4.3155,3.9543,1.9675,2.3394,4.1343,2.6325,1.0711,-2.2447,4.5117,5.428,4.0383,0.6517,3.9468,3.9118,1.5064,3.3407,3.2885,1.0847
TCGA-IR-A3L7-01,4.8876,-0.5332,5.6288,-4.6082,-0.4131,3.1939,1.5316,0.4865,0.1388,1.7912,5.5735,1.7912,0.8408,1.7009,4.0756,0.9343,3.0825,-4.2934,4.4595,-3.458,2.0844,-0.3201,0.1776,1.6045,-0.5543,1.1641,-4.2934,-6.5064
TCGA-05-4420-01,4.5466,1.1117,3.3032,-4.2934,0.5666,2.0325,1.9638,0.9862,4.1269,2.4412,7.2066,2.3366,3.7961,1.934,4.1812,1.2271,1.3567,0.7579,5.6349,4.0055,1.6785,1.9111,1.8201,3.9412,1.7617,1.7229,-2.1779,0.4552
TCGA-R6-A8WC-01,6.6619,2.7763,5.7557,-3.6259,-1.1488,4.986,0.8327,-0.0877,0.8647,-0.0425,5.7965,0.7407,-0.1031,-1.0559,4.4868,0.2154,0.3115,-4.6082,4.3046,-3.458,1.0293,-1.2481,3.3032,1.8801,-1.685,0.9789,-6.5064,0.7233
TCGA-DX-A3U8-01,6.8323,5.0597,4.7882,-0.6193,2.6873,5.4091,4.402,4.7426,7.6706,4.691,8.5316,4.7756,6.5435,5.0431,7.0335,3.0585,0.7832,1.8444,8.9897,-1.5951,4.8022,2.6161,6.1052,6.9767,1.3735,4.6035,-3.1714,-0.5543
TCGA-GL-8500-01,6.0446,-0.2159,4.1002,-3.6259,-0.4719,3.2856,1.1897,1.4174,1.6466,0.8726,6.3756,2.4544,0.4967,2.6487,4.1002,1.3901,0.4447,-4.6082,3.793,-2.6349,1.4756,1.1316,1.4494,2.4883,-0.1345,1.1184,-4.2934,-1.3183
TCGA-E2-A153-11,5.5586,2.7594,4.3548,-4.035,1.7141,4.8314,2.7336,2.4831,4.2072,1.3454,7.4119,2.6418,3.7006,2.2019,4.309,2.3366,1.7009,-0.0877,5.9896,2.651,3.7248,0.9642,1.4756,4.6888,1.0573,2.7401,0.8164,-1.3548
TCGA-BR-A4J6-01,5.3744,0.099,2.6019,-6.5064,0.7916,3.2677,2.5338,-1.5105,1.2333,1.5465,5.9697,2.8897,1.2576,2.2421,4.3855,1.2271,-0.5125,-2.1779,3.6838,5.62,2.982,0.1776,-0.0725,2.2299,0.1388,2.3337,-0.1828,-1.0262
TCGA-EJ-7125-01,6.0892,3.0393,3.1924,-2.7274,-0.013,3.8501,1.6695,0.7321,2.7051,1.6234,6.1085,1.2815,2.6043,-1.8314,3.9251,1.4065,2.5924,-0.8863,4.2803,1.3956,2.9243,0.2522,2.909,3.3192,0.0854,1.4962,-0.7588,-2.2447
TCGA-IN-7808-01,5.8412,6.2935,4.1086,-0.8339,3.5187,2.9893,5.8783,1.9452,3.6312,4.3541,6.0139,5.8588,3.0252,0.9038,5.7568,4.2189,3.9929,0.2277,4.7528,8.1847,6.478,2.5683,3.5706,5.403,3.5779,5.2747,7.6024,4.6611
TCGA-L5-A4OH-01,7.8146,2.7487,5.7493,-4.035,-0.4325,4.1595,1.4441,1.2516,2.0535,-0.2671,7.0451,1.2636,0.7493,0.5666,3.4687,0.517,2.7508,-2.7274,2.233,1.334,2.4934,-0.6643,3.0181,2.4412,-1.9942,1.7403,-0.4719,-0.5973
TCGA-RP-A695-06,5.6545,2.3308,2.9071,-1.3183,-1.2481,3.2826,2.5683,0.2998,5.5488,2.2391,8.1162,3.3307,3.4318,-0.1665,4.5892,2.9128,0.2881,-1.685,4.6657,2.8381,3.3206,2.0325,1.1833,3.6589,1.7575,2.2082,-2.6349,-1.8836
TCGA-AX-A3G6-01,5.8897,-1.685,2.6918,-9.9658,-1.1488,2.9544,1.5115,0.8327,4.9542,1.5216,4.565,3.5608,1.7185,3.5299,3.1212,1.1641,7.1419,-0.1993,6.8945,1.0433,1.0779,0.2881,5.0036,3.7313,6.8366,0.8082,-4.6082,-4.035
TCGA-B9-A8YH-01,6.4321,1.2992,4.8895,-9.9658,1.6281,3.9232,3.2885,3.5971,5.5647,2.9413,8.5939,2.4985,4.7887,2.3193,4.441,1.5902,-0.4521,-2.3884,6.8979,-1.5951,3.3047,1.3397,2.4492,5.3205,0.058,2.7847,-1.2828,-2.7274
TCGA-E1-A7YI-01,6.0299,-0.9406,3.1327,-9.9658,-2.1779,4.842,-1.0262,1.3397,4.735,-2.114,5.9729,0.7146,4.3944,1.3735,5.7767,0.8568,-3.6259,-1.3921,5.4019,-1.7809,-1.2142,-1.6394,1.2756,3.6417,-1.5522,-1.3183,-4.035,-1.3921
TCGA-PC-A5DM-01,4.8525,-2.3884,4.5091,-3.0469,-2.9324,4.6651,-0.0725,2.3649,6.2263,0.3346,7.5337,1.595,4.2914,1.7702,6.5709,-2.1779,-3.0469,-0.2328,6.7253,-1.2481,0.4125,-0.4325,2.3732,3.8481,-9.9658,0.3685,-9.9658,1.7141
TCGA-BR-A4QL-01,4.5324,2.5462,1.8918,-2.2447,-0.2159,2.4727,2.299,-1.5522,1.9786,2.8858,3.944,3.5754,0.3796,4.287,3.5009,0.3115,0.7832,-3.816,3.6172,-0.6416,2.3816,0.1776,2.1378,1.6327,1.177,1.9859,-2.3147,-2.1779
TCGA-CH-5751-01,7.9396,6.4573,3.0038,0.1903,2.3394,4.1474,4.8861,2.1988,4.4476,4.4615,6.8025,4.7291,3.8798,2.0465,4.3688,4.8192,3.2811,0.7233,5.2476,6.1285,5.4647,3.3177,6.0081,5.2732,3.5374,4.9883,5.6557,3.0515
TCGA-A2-A3XX-01,5.6562,5.2765,1.8524,-2.9324,-0.0725,3.245,3.5766,1.6695,4.5211,1.8957,6.4547,2.8582,3.0893,3.869,4.5374,2.2813,3.345,-0.0725,6.8738,5.2858,3.6691,1.7097,4.8182,4.2281,3.0446,2.8936,3.136,1.8722
TCGA-DQ-5624-01,6.5586,3.2112,4.7624,-2.9324,-0.2671,5.018,2.9674,-0.0725,2.1574,0.6332,6.0374,1.334,0.7579,3.1377,7.0771,0.5069,3.2374,1.5366,5.0816,3.9308,3.5596,0.6332,3.6994,4.182,-1.1811,2.8117,-2.114,-1.5105
TCGA-KK-A7B3-01,4.8739,3.4556,3.2236,-4.6082,1.7744,3.2707,3.3619,1.6785,3.0585,2.8199,5.3082,3.3952,2.1411,2.6715,4.8954,2.5437,3.9327,-1.4699,4.784,0.2522,3.8411,1.9264,3.3842,3.7982,1.4335,3.0654,-1.6394,-2.3884
TCGA-DQ-7591-01,7.0359,5.0687,5.9848,1.8564,2.183,3.616,5.2627,1.949,3.2065,5.0418,5.2177,5.5919,2.0325,3.8461,4.9317,4.5583,6.6642,-1.1811,5.0721,5.9812,5.6177,3.5608,7.541,4.9709,3.4398,5.3345,3.8451,2.4386
TCGA-06-5412-01,6.1522,2.1988,3.0446,-5.0116,-0.394,4.4496,0.9862,4.0558,7.4619,2.4144,8.4046,2.6715,5.4565,4.889,6.0921,0.6145,0.5763,2.2019,8.298,-1.6394,1.4547,3.3633,4.034,6.0951,-1.0862,1.0293,-3.1714,-0.1187
TCGA-BP-4989-01,6.8306,5.0769,3.2065,2.4386,2.1862,3.7138,6.2776,3.2343,5.1883,6.7313,7.501,7.362,4.306,3.3897,5.0769,6.393,4.3534,0.2642,6.0032,3.7815,6.2288,5.0086,5.2453,5.625,5.3367,5.8498,2.6487,0.434
TCGA-EJ-8468-01,6.4501,2.5061,3.863,-1.0559,2.3451,4.3198,3.2405,1.6558,4.2017,2.7742,6.5124,2.4753,3.6861,1.3225,4.162,2.3926,1.8564,0.2277,5.1538,1.5415,3.8157,1.5013,3.0163,4.1128,1.5064,3.1079,-0.8599,-2.7274
TCGA-CZ-5459-01,6.2632,5.09,3.9127,-1.1811,1.2756,3.2267,4.0713,1.595,5.7645,3.8935,7.5563,4.9416,4.2396,4.2855,6.6542,3.9883,5.5277,-0.8339,6.1398,1.3109,4.3744,2.5658,5.1367,4.3862,3.0568,3.4997,-0.7588,-2.8262
TCGA-D5-5538-01,6.797,4.3786,4.2142,-1.5522,1.1382,3.3134,3.2766,3.5473,4.7613,3.2692,8.4251,3.0706,4.4542,2.651,4.4115,1.9822,2.0742,-0.6416,6.1264,3.6393,3.3492,1.1447,6.0193,4.9686,2.1411,3.2034,-0.3201,0.03
TCGA-56-8305-01,5.5589,2.3732,5.1173,-5.0116,-0.2159,3.6266,1.6695,2.2482,4.8485,0.9568,8.1875,0.8568,3.5742,1.2516,6.8563,-0.0277,-0.0725,-2.7274,5.4473,5.2184,2.2723,0.3115,2.9071,4.2691,-0.8599,0.8488,-1.5105,0.679
TCGA-CZ-5468-11,7.5501,0.8488,4.5705,-9.9658,0.7579,4.1252,1.3397,0.099,3.5022,1.9415,5.0405,2.8076,2.4465,0.9935,5.5519,0.434,-0.3752,-2.3147,4.9383,-1.7322,1.5165,1.2756,2.2051,2.5036,-1.0262,0.9191,-3.6259,-3.6259
TCGA-BH-A0BQ-11,6.1769,2.9929,4.427,-9.9658,1.8957,4.447,3.1829,2.9544,4.4081,2.5213,5.6938,2.7073,3.2677,1.2333,4.0713,3.4504,0.7832,-4.6082,5.6801,3.4398,4.3385,1.5216,2.6138,4.8012,2.1411,3.208,2.4386,-0.1993
TCGA-4X-A9FA-01,5.1863,3.6972,4.4602,-3.6259,3.2707,2.7487,6.677,2.1702,5.9052,3.4102,4.8694,4.86,3.3647,3.6737,5.4696,5.1914,2.8096,-1.5522,6.1029,4.6972,6.2608,2.5924,3.8925,4.1277,5.3115,5.0571,-0.2671,0.1648
TCGA-DD-AAW0-01,6.3273,2.6208,3.3221,-3.458,1.46,2.2753,3.0358,1.5709,4.7945,2.9032,6.948,2.1957,3.5047,0.8568,4.7285,1.8078,0.6517,-1.685,9.0494,0.3796,3.623,1.0503,4.0198,4.5862,0.1776,3.0376,-1.4699,-2.3884
TCGA-AA-3511-01,5.8133,1.4388,3.1572,-3.3076,-0.7588,2.3479,2.1013,0.8647,2.6464,1.8996,6.8197,1.8404,1.8404,1.9638,4.1482,0.8327,2.1411,-1.7809,4.8856,1.8444,2.1574,0.537,2.6395,3.1426,-0.1187,1.5415,-0.9971,-1.4305
TCGA-Z7-A8R5-01,4.0136,1.0915,2.8858,-2.9324,2.4198,2.9966,4.8871,1.5758,5.0392,4.0028,6.1757,5.0571,3.4791,4.5448,5.2717,2.7444,0.2522,-0.9686,6.9526,4.1318,4.0242,1.9264,1.2992,4.0287,2.5188,3.5947,2.5137,1.4065
TCGA-CZ-4863-11,5.939,-0.7346,5.2173,-9.9658,-2.1779,5.1248,-1.0559,-0.394,1.8282,-0.8339,5.0131,-0.2671,0.8647,-1.8836,5.1611,-2.4659,-0.1504,-2.5479,3.8147,-2.9324,-2.0529,-1.7809,-0.3752,3.4817,-1.6394,-2.2447,-4.6082,-1.8836
TCGA-39-5031-01,6.0721,4.9331,3.944,-1.2481,1.6875,3.9746,4.1692,1.7786,4.352,3.3787,6.6205,3.8541,3.7919,2.3193,5.7926,3.1653,3.7204,0.2881,5.435,6.1849,4.2381,1.949,5.8637,4.9127,2.5112,3.8621,2.0111,1.1833
TCGA-ZG-A8QW-01,5.9463,3.9459,3.2826,-1.0262,-0.013,3.4517,3.6172,0.8961,3.011,2.8341,5.5451,2.7249,2.872,1.0433,4.1111,2.2603,2.93,-1.3921,4.9098,0.2881,3.7421,0.9935,4.6479,4.2758,1.7097,3.0961,-1.5522,-1.9942
TCGA-DU-7302-01,5.7642,-1.1488,4.7576,-9.9658,-3.816,3.773,-1.5522,1.642,0.8164,-2.2447,5.4473,-1.1172,1.9264,-1.5522,3.5682,-0.3022,-5.5735,-3.0469,3.4224,-2.3884,-2.7274,-1.8314,-0.8339,3.6219,-0.9132,-3.3076,-4.6082,-9.9658
TCGA-DJ-A3UX-01,6.9638,5.6002,4.8064,0.2029,0.9419,4.5324,3.652,1.6558,3.7656,3.3703,5.3302,3.8719,2.4597,4.686,4.0549,3.2737,3.29,-0.7834,4.6404,4.4128,4.178,1.8762,4.1449,3.8157,2.3508,3.1162,1.6695,0.044
TCGA-ZN-A9VQ-01,5.8372,-1.9942,5.6685,-4.6082,0.24,3.9031,2.108,3.0127,4.5675,0.8568,6.0693,1.4011,3.831,0.3115,5.7798,-0.1828,-0.7108,0.0014,6.114,-1.0262,2.5263,-0.4131,-0.1828,4.215,-0.3022,1.4441,-6.5064,-5.0116
TCGA-EI-6512-01,5.9489,3.4958,4.3807,-1.4305,0.679,2.9319,2.5731,0.6332,2.7444,3.0376,8.0117,2.1213,2.0147,3.245,3.2158,0.4552,4.0901,-1.8314,4.701,1.3511,2.3871,1.4494,3.8013,3.6543,0.2277,1.5854,-4.6082,-1.6394
TCGA-J4-A83K-01,5.176,0.1388,3.5875,-3.816,0.0718,3.027,1.6045,0.4657,1.6875,0.4967,4.3392,0.7146,0.9789,-1.4699,3.8719,1.0915,0.9343,-3.458,3.7678,-0.9132,1.6875,-0.1828,1.4911,2.2299,0.9493,1.3109,-3.6259,-2.2447
TCGA-EE-A17X-06,5.7474,0.5568,3.2297,-9.9658,-2.8262,4.1044,0.7579,1.3167,5.2828,-0.0725,10.4351,3.2282,2.6918,2.7594,4.0816,0.8246,-0.0277,0.7493,5.0627,1.4911,2.1574,2.0569,0.1388,3.4556,0.0718,0.605,-4.035,-3.458
TCGA-HZ-7922-01,6.3555,3.7982,6.3067,-3.3076,1.683,4.9704,3.6894,3.5436,5.5348,3.3938,8.1149,2.8462,4.479,0.517,5.8493,2.2663,3.3206,-0.5543,6.3773,4.3965,3.7571,1.3051,4.9232,5.064,3.4622,3.1426,2.8681,0.9568
TCGA-DD-AACA-02,4.41759911067,-0.134452832391,4.36778211249,-4.79589803076,-2.8262,2.43992068549,-1.19758065174,-0.554257470416,0.828628919457,-1.73214783804,3.19394165032,1.34253181192,-0.698993985746,0.915332221914,6.06511629692,-1.7563387889,-0.174668319645,-4.44219780499,7.30492466057,-3.38083097738,-1.35475859037,-0.522864816516,1.37906327247,4.56137387962,-3.62596884652,-2.11404576659,-6.5064,-6.50638501219
TCGA-DD-AACA-01,5.1469,2.3677,4.9084,-3.458,-0.5543,2.6918,0.1257,-0.6193,2.1638,0.679,4.6882,2.7657,1.5064,1.2756,3.6916,0.9268,-1.6394,-4.6082,5.8309,1.125,0.6608,0.9343,4.423,3.3076,-0.3752,-0.1665,-2.3884,-2.6349
TCGA-D3-A8GD-06,8.5601,7.9981,4.174,2.2019,1.8201,4.0558,6.7177,2.2513,5.7383,6.3436,8.0048,7.9078,4.6617,7.0264,5.7178,5.5223,6.1467,0.9642,6.8241,6.9519,6.8822,5.6241,6.6779,6.1071,4.6502,5.8602,6.2713,4.756
TCGA-13-1485-01,3.9956,0.03,3.616,-5.5735,-4.035,3.2002,-0.1828,0.3796,2.727,-1.3183,5.391,1.177,1.949,0.688,6.3889,-1.4305,2.3106,-0.2671,5.7824,-2.6349,1.0915,-1.6394,0.8805,3.7182,-4.035,0.2522,-5.0116,-2.6349
TCGA-QG-A5YX-01,5.6994,-0.4325,3.6994,-3.458,-0.2159,2.8096,1.6093,0.2154,1.0642,0.547,5.8455,0.0718,-0.8339,-0.3383,2.2051,-0.7346,-0.1993,-3.6259,3.8157,1.2085,1.934,-1.0862,1.4808,2.4675,1.9712,1.5366,-1.5951,-0.9971
TCGA-ZG-A9MC-01,6.9879,4.4628,4.6508,-0.9406,3.74,3.6838,5.3342,2.9243,3.5424,4.1078,6.5958,4.3569,2.9637,2.9224,5.516,3.7094,4.0969,-0.0725,5.442,5.991,5.9134,2.3508,6.7628,5.3392,2.5876,5.0571,4.3213,2.6962
TCGA-DU-A7TI-01,7.4653,-1.7809,4.7421,-5.0116,-4.2934,3.865,-3.458,3.6474,1.412,-2.4659,6.7882,-0.2159,1.6234,0.4967,5.599,-0.6416,-1.9379,0.7058,6.3733,-0.2671,-0.9971,-1.2142,4.3442,5.1173,-1.9379,-3.458,-2.2447,-1.2828
TCGA-A3-3335-01,5.3363,2.5288,3.8935,-1.8836,2.6114,3.832,2.945,1.7446,4.1466,2.3953,8.0497,2.982,3.705,2.5388,6.2557,1.9749,2.2693,-0.7346,5.119,2.0111,3.5287,1.2516,3.4622,4.4297,0.3685,2.7487,2.0076,-0.4521
TCGA-BR-8372-01,8.1016,7.8502,4.1498,0.6517,0.8488,4.314,4.5299,1.5902,3.5274,4.9732,7.8298,5.3817,4.0926,4.7898,4.6702,4.1384,6.3171,0.099,5.9279,2.3953,4.1327,3.3032,7.6146,5.0339,2.5658,4.7777,0.7916,-0.4521
TCGA-HC-7742-01,5.3597,2.4753,3.7603,-9.9658,-0.7588,4.0162,0.8961,0.0854,2.2237,1.0915,4.6335,1.5514,1.46,1.0915,3.835,1.2815,0.3231,-2.0529,3.5324,-1.8836,2.0289,0.1776,3.7496,2.2663,0.6969,0.8488,-2.8262,-3.0469
TCGA-DD-A3A6-11,2.299,-1.7322,0.434,-9.9658,-2.9324,-0.0425,-0.5756,-4.6082,-0.7108,-1.0862,3.1458,1.5902,-4.6082,-0.2328,0.044,-1.9379,-9.9658,-6.5064,8.8256,-2.3147,-0.3022,-2.9324,-0.1993,2.7379,-3.0469,-2.4659,-9.9658,-3.6259
TCGA-64-1679-01,6.8121,3.6113,4.3604,-9.9658,-1.0862,4.2862,4.6753,4.4476,5.8035,0.7664,8.3053,1.9675,3.864,0.7579,5.9973,0.2642,3.9166,-0.4131,7.4376,3.6827,2.4117,0.2522,5.1776,6.2996,-0.5125,2.1345,-3.458,-0.1504
TCGA-CV-5976-01,7.1869,4.49,4.7291,-4.035,-3.458,3.7171,1.0779,-0.3022,2.7465,2.7889,6.4366,1.1577,2.0183,4.6136,6.4313,-0.4521,1.3567,-0.4921,5.2574,-0.6873,2.2113,1.125,5.5883,2.9338,-1.5522,1.2636,-5.5735,-3.0469
TCGA-25-1315-01,6.5509,-0.8339,3.7324,-6.5064,-4.2934,2.8117,-3.6259,-1.0262,1.5902,-2.4659,4.0722,-0.013,0.5763,-1.685,3.4635,-0.5756,0.4657,-0.9406,3.5766,-4.6082,-1.4305,-2.7274,2.8402,3.0515,0.099,-2.8262,-4.6082,2.2113
TCGA-2G-AAFZ-01,6.1667,1.8604,4.664,-4.035,-0.394,4.3814,2.2633,0.4967,3.7709,1.4962,6.4594,2.183,2.9692,0.2642,5.0553,1.4281,1.334,-0.7108,4.6195,1.7097,2.3649,0.8246,3.9626,3.9051,2.3981,2.0912,-2.3147,-0.1665
TCGA-LN-A4MQ-01,6.0736,1.3901,6.9272,-3.816,-2.8262,4.9477,-0.4719,-1.9379,0.4761,-1.4305,7.3933,-1.1811,-0.5332,-1.685,4.443,-1.9942,-1.4699,-2.0529,2.2482,-1.1488,-0.2671,-2.9324,1.4174,1.0222,-2.8262,-1.0559,-4.6082,-3.6259
TCGA-CV-6948-01,6.3025,5.6303,5.1985,-0.6416,0.058,3.6691,2.9857,1.0007,3.074,4.6083,6.3397,4.0858,1.9527,5.8919,4.6023,1.6281,2.9839,-2.7274,4.6456,2.0395,3.2826,2.5388,4.8575,3.7867,0.24,2.6487,-1.3183,0.8488
TCGA-K7-AAU7-01,5.849,2.8422,4.8783,-2.8262,0.1124,4.3299,3.834,2.128,3.492,1.1897,6.2551,2.6984,2.1606,0.9568,4.918,0.5859,1.0079,-0.0574,5.9246,1.177,2.328,0.4865,3.6589,4.0436,-0.9406,2.2723,-1.2142,-3.458
TCGA-CJ-6028-01,8.0487,7.6473,4.4223,1.9034,2.578,4.3328,4.9103,3.1129,7.0362,6.5823,8.693,6.3272,5.4532,4.0269,6.5261,6.1289,6.3731,1.595,5.9982,4.4443,5.9409,4.6566,6.9339,5.9919,4.8038,5.6528,0.6969,0.4233
TCGA-B6-A0RL-01,6.0449,-2.6349,4.7437,-9.9658,-5.5735,2.4035,-0.9406,0.0158,2.5061,-3.1714,4.4556,0.6425,0.4016,-2.1779,2.4675,1.8643,0.8408,-1.8314,3.5149,-1.3183,-2.8262,-3.6259,1.2209,1.9527,-4.035,-1.8836,-2.1779,-5.0116
TCGA-CZ-5456-01,5.5116,2.727,3.927,-3.816,3.7105,4.7877,4.3046,3.0825,6.0268,4.14,9.7788,4.1844,5.3712,2.4306,6.2544,3.6382,2.6185,0.2277,7.2573,4.1962,4.6376,2.8137,2.7826,5.5417,1.6327,3.9938,0.6969,1.5165
TCGA-EL-A3D0-01,5.3899,1.5661,4.9855,-9.9658,-1.6394,3.5657,0.5955,0.0158,1.9264,1.1512,4.1019,1.2209,0.6145,0.7407,5.4919,0.346,3.162,-9.9658,4.131,-1.5105,1.0573,0.2762,0.1903,2.6464,-1.9379,0.3685,-1.8314,-3.0469
TCGA-EM-A22Q-01,2.4035,-0.2498,3.3464,-9.9658,-0.6873,0.8327,2.3106,-1.9379,0.7493,1.7185,0.2642,4.9538,0.1124,3.8198,5.5164,-0.394,0.7058,-4.2934,5.8022,-0.7588,2.4439,-0.9686,-1.8314,1.7009,-2.3884,0.2029,-1.4699,-2.7274
TCGA-49-6744-01,6.858,4.6821,4.0295,-1.5522,2.9875,3.7518,5.2694,4.1732,6.2836,4.6894,8.033,4.7388,5.1127,4.4816,5.5154,4.2056,5.7361,-0.6643,6.6622,6.1177,5.7453,3.3177,5.4864,6.359,2.971,5.0197,2.0878,1.8363
TCGA-L5-A4ON-01,5.9616,2.3423,5.7068,-1.7809,0.517,4.9924,0.9935,0.3115,2.7051,1.4494,7.7247,0.7493,1.0007,1.949,4.3428,-0.8599,3.6301,-1.6394,4.2766,-1.1811,1.8604,0.5271,4.8832,3.0393,-4.035,1.2516,-2.8262,-2.6349
TCGA-FS-A1ZF-06,5.2754,2.7051,2.0254,-2.2447,-2.2447,3.2677,1.7954,0.4761,2.872,1.2756,6.7011,3.0393,1.8683,-0.1504,4.7318,1.4962,0.1257,-1.7322,4.7302,-0.8599,2.0076,0.5666,2.8681,2.826,0.8805,1.642,-2.9324,-9.9658
TCGA-ZN-A9VU-01,7.4854,1.9712,4.251,-1.5105,2.4412,3.4088,3.0893,3.1556,6.7557,4.3104,7.4891,4.7148,5.1322,3.9645,4.8218,2.9375,1.3846,2.8701,7.6859,3.0217,3.8541,2.4753,4.7866,5.6276,1.2636,3.002,-0.5125,-1.5522
TCGA-Q3-A5QY-01,5.1206,3.0978,3.835,-2.6349,4.1011,3.4674,7.2583,3.208,5.3941,4.1136,6.9556,4.1867,4.5922,2.1313,6.2464,4.2017,4.2728,-0.4131,5.8463,8.6387,7.404,2.7572,2.2237,6.1455,3.2557,5.6982,7.1981,5.7096
TCGA-AJ-A3BI-01,4.6456,0.5568,-1.2828,-1.3548,1.5366,-0.1345,5.1736,0.1257,3.506,2.4171,3.9108,5.5075,1.2516,5.9903,3.242,0.24,5.4367,-2.3147,4.6089,-1.0559,2.3451,1.2271,4.8924,2.0912,0.6608,2.8522,-6.5064,1.0847
TCGA-W2-A7UY-01,2.7742,-2.7274,0.5271,-9.9658,-1.3183,2.8661,1.0433,0.4447,5.5173,-0.4325,5.6056,2.2237,3.4804,2.9562,5.4253,-1.8314,-0.4719,-2.8262,6.9794,-0.8863,-0.3566,-0.1665,0.1257,3.3293,-4.035,-0.7588,-9.9658,-1.9379
TCGA-BH-A204-11,5.1579,0.7493,4.2833,-4.2934,-0.4131,4.0884,0.5271,1.5806,4.6674,1.3623,6.1483,1.9859,4.4641,2.3337,3.7259,-0.4921,2.5658,0.3573,5.641,0.537,1.4335,0.6239,0.0158,3.5718,-1.4699,0.6239,-1.8836,-1.8314
TCGA-E3-A3E2-01,6.7669,5.7748,4.5826,-0.8599,2.2268,5.546,4.7247,1.9302,4.4706,4.0471,5.2331,4.6502,2.8897,4.466,5.0993,3.5839,3.2174,-0.8339,5.1416,6.7392,5.1867,2.3048,3.9089,4.6798,3.1442,4.1086,5.8973,4.0401
TCGA-FB-A545-01,5.1206,0.2029,5.2728,-9.9658,-0.3022,4.2056,0.099,0.6517,2.3536,2.7784,6.302,1.7786,0.4657,2.5804,6.6966,-0.6416,-0.6873,-4.035,4.162,2.2842,1.2636,0.8726,0.0014,2.824,-1.1488,-0.0425,-0.9686,-0.3022
TCGA-44-2657-11,6.0607,4.6554,3.5947,-0.4131,3.2602,3.0757,5.7326,3.573,6.3309,4.6725,9.1054,5.8299,5.341,4.0216,5.8694,4.4277,4.7383,1.1897,6.6945,8.0098,6.3331,3.9487,4.0645,6.6443,3.0961,5.2991,6.4862,4.8744
TCGA-G4-6320-01,3.9022,0.8327,2.7095,-4.2934,0.1519,2.3677,2.5536,-1.9379,0.03,2.7029,5.6628,2.036,-0.4921,1.8282,4.9317,0.3573,-0.0877,-2.0529,2.4753,3.2002,2.2268,-0.0277,1.1833,1.5563,-1.3921,1.5266,1.2516,0.5859
