source,target,weight,resources,references,sign_decision
SOX5,PTHLH,1.0,ExTRI;GEREDB;NTNU.Curated,19759178,PMID
NONO,BANF1,1.0,ExTRI,19759913,default activation
NONO,HTT,1.0,ExTRI,19759913,default activation
NONO,PSIP1,1.0,ExTRI,19759913,default activation
HNF4A,CDX2,1.0,ExTRI;NTNU.Curated,19761587;22986531,default activation
HOXB7,GH1,1.0,ExTRI,1976240,default activation
KDM5A,TERT,1.0,ExTRI,19762557,default activation
SP1,XYLT1,1.0,ExTRI;GEREDB;NTNU.Curated,19762916,default activation
ESR1,GLB1,1.0,ExTRI,19763504,default activation
E2F1,OPRM1,1.0,ExTRI;NTNU.Curated;TFactS,19765550,PMID
HIF1A,IKBKB,1.0,ExTRI,19766100,default activation
ONECUT1,CCN2,-1.0,ExTRI;NTNU.Curated,19766716,PMID
ONECUT1,MMP7,-1.0,ExTRI;NTNU.Curated,19766716,PMID
ONECUT1,NUPR1,-1.0,ExTRI;NTNU.Curated,19766716,PMID
ONECUT1,S100A8,1.0,ExTRI,19766716,default activation
KLF15,BMPER,1.0,ExTRI,19767294,default activation
FOXP3,DAB2,1.0,ExTRI;NTNU.Curated,19767570,default activation
TBP,POLI,1.0,ExTRI,19767748;23454483;8058785;8887672;9811537;9837969,default activation
MECOM,PBX1,1.0,ExTRI;GEREDB;SIGNOR,19767769,PMID
PPARG,TAFAZZIN,1.0,ExTRI,19769530,default activation
SP1,ADAM17,1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,19772640;22705645,PMID
TBPL2,CDKN1A,1.0,ExTRI,19773351,default activation
MYC,EIF4EBP1,-1.0,ExTRI;GEREDB,19773438,PMID
PRDM1,TFAP2C,1.0,ExTRI,19776388,default activation
ZXDA,HLA-E,1.0,ExTRI,19777325,default activation
TP73,CRYAB,1.0,ExTRI;NTNU.Curated,19777343,PMID
HOXA10,PHGDH,-1.0,ExTRI;GEREDB;SIGNOR;TRRUST,19778996,PMID
IRF3,MAPK1,1.0,ExTRI,19779605,default activation
IRF3,SOCS2,1.0,ExTRI;SIGNOR;TRRUST,19779605;22291912,PMID
MBD1,ALOX5,-1.0,ExTRI;SIGNOR;TRRUST,19781662,PMID
MBD1,NDRG1,1.0,ExTRI,19781662,default activation
SNAI1,GJA1,1.0,ExTRI,19781809,default activation
MYOG,SMYD1,1.0,ExTRI,19783823,default activation
SRF,SMYD1,1.0,ExTRI;NTNU.Curated,19783823,PMID
SP1,TERF2,1.0,ExTRI;TRRUST,19783902,PMID
E2F1,ID4,1.0,ExTRI;GEREDB;NTNU.Curated,19783986,PMID
SMARCC1,SMARCA4,1.0,ExTRI,19785031,default activation
SMARCE1,SMARCB1,1.0,ExTRI,19785031,default activation
EGR1,STMN1,1.0,ExTRI;NTNU.Curated;TRRUST,19786090,default activation
HNF4A,F12,-1.0,ExTRI;SIGNOR,19786295;9794469,PMID
DNMT3A,TIMP2,-1.0,ExTRI;SIGNOR,19786833,PMID
MYC,TIMP2,1.0,ExTRI,19786833,default activation
PAX6,KLK3,1.0,ExTRI,19790232,default activation
SMAD3,GLI2,1.0,ExTRI;NTNU.Curated;TFactS;TRRUST,19797115,PMID
HIVEP3,PRKD2,1.0,ExTRI,19797895,default activation
FOXP1,LHX3,1.0,ExTRI,19797899,default activation
CTBP2,BBC3,1.0,ExTRI;NTNU.Curated,19798104,default activation
KLF3,BIK,1.0,ExTRI,19798104,default activation
CTBP2,BIK,1.0,ExTRI,19798104,default activation
CTBP2,CALCA,1.0,ExTRI,19798104,default activation
CTBP2,CDKN2A,1.0,ExTRI,19798104;23255392,default activation
CTBP2,HP,1.0,ExTRI,19798104,default activation
GRHL3,BIK,1.0,ExTRI,19798104,default activation
KLF3,CALCA,1.0,ExTRI,19798104,default activation
KLF3,HP,1.0,ExTRI,19798104,default activation
EGR1,GCLC,1.0,ExTRI;NTNU.Curated,19798679;22174042,PMID
MEIS1,SOX3,1.0,ExTRI;GEREDB;NTNU.Curated;Pavlidis2021;TRRUST,19799567;22293114,PMID
PBX1,SOX3,1.0,ExTRI;GOA;NTNU.Curated;Pavlidis2021;TRRUST,19799567;22293114;22992721,PMID
TAL1,EPB42,1.0,ExTRI,19799863,default activation
HNF4A,NPPA,1.0,ExTRI,19799869,default activation
LEF1,NPPA,1.0,ExTRI;NTNU.Curated,19799869,regulon
FOXO3,DOK5,-1.0,ExTRI;GEREDB,19800350,PMID
IRF8,FANCF,1.0,ExTRI;GEREDB,19801548,PMID
ELF3,GADD45GIP1,1.0,ExTRI,19801644,default activation
NFATC1,CD40,1.0,ExTRI,19801646;20831919;21413932;21913318;23990468,default activation
STAT6,CD40,1.0,ExTRI;TRRUST,11086058;19801646,default activation
STAT6,NFATC1,-1.0,ExTRI;GEREDB,19801646;21751242,PMID
TCF3,NTRK2,1.0,ExTRI,19801649,default activation
TCF3,MAP3K10,1.0,ExTRI,19801649,default activation
TCF3,MAP3K13,1.0,ExTRI,19801649,default activation
CEBPB,IL15,1.0,ExTRI,19801677,default activation
CEBPB,CCL8,-1.0,CytReg;ExTRI,19801677,PMID
SRF,KCNMB1,1.0,ExTRI;NTNU.Curated;Pavlidis2021,19801679,PMID
TWIST1,AR,1.0,ExTRI;GEREDB;NTNU.Curated,19802001,default activation
RREB1,SLC39A1,-1.0,ExTRI;NTNU.Curated,19802870,PMID
PPARD,LPIN2,1.0,ExTRI;NTNU.Curated,19805517,PMID
HNF4A,POLR2F,1.0,ExTRI,19805548,default activation
MYC,SLC25A5,1.0,ExTRI,19806017,default activation
CEBPG,HSD11B1,1.0,ExTRI,19806478,default activation
PAX5,TERT,1.0,ExTRI;TRRUST,19806612,PMID
PPARG,TXNIP,-1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,19808645,PMID
KLF6,TXNIP,1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,19808645,PMID
PPARG,KLF6,-1.0,GEREDB,19808645,PMID
KLF6,PPARG,-1.0,ExTRI;GEREDB;NTNU.Curated,19808645;24385430,PMID
SP1,SREBF2,1.0,ExTRI;NTNU.Curated,19808779,PMID
POU1F1,CCND1,1.0,ExTRI;NTNU.Curated,19808898,PMID
RUNX3,MDM2,1.0,ExTRI;NTNU.Curated,19808967,default activation
SRY,ACE,1.0,ExTRI,19809364,default activation
SRY,ACE2,1.0,ExTRI,19809364,default activation
SRY,AGT,1.0,ExTRI;NTNU.Curated,19809364,PMID
CEBPG,SREBF1,1.0,ExTRI;NTNU.Curated,19811452,default activation
NCOA1,ADRB1,1.0,ExTRI,19812390,default activation
NEUROG1,CBLIF,1.0,ExTRI,19813087,regulon
NEUROG1,LGR5,1.0,ExTRI;NTNU.Curated,19813087,PMID
PAX3,HLA-DQB1,1.0,ExTRI,19814781,default activation
ID2,HHIP,1.0,ExTRI,19815628,default activation
LHX2,HHIP,1.0,ExTRI,19815628,default activation
SP1,NPHS1,1.0,ExTRI,19816048,default activation
NFATC1,IL17F,1.0,ExTRI,19818650,default activation
NFATC1,IL17A,1.0,CytReg;ExTRI,15459204;19818650;22989874,PMID
HNF4A,FSCN1,1.0,ExTRI,19818782,default activation
HR,CYP24A1,1.0,ExTRI,19819974,default activation
HR,DIO3,1.0,ExTRI,19819974,default activation
FOXA3,IGF1,1.0,ExTRI,19819986,default activation
STAT5A,FOXA3,1.0,ExTRI,19819986,default activation
NFE2L2,ABCB11,1.0,ExTRI;GEREDB,19821532,default activation
ZNF461,CYP19A1,-1.0,ExTRI;GEREDB,19822197,PMID
NR4A1,SF1,1.0,ExTRI,19822197,default activation
ZNF461,NR5A2,-1.0,ExTRI;GEREDB,19822197,PMID
ZNF143,CLN3,1.0,ExTRI,19823669,default activation
GATA1,CBFB,-1.0,ExTRI;NTNU.Curated;SIGNOR;TRRUST,19825991,PMID
CBFB,GATA1,1.0,TRRUST,8683991,default activation
SPI1,KRT9,1.0,ExTRI,19825991,default activation
E2F1,IRF3,-1.0,ExTRI;GEREDB;NTNU.Curated;Pavlidis2021;TFactS;TRRUST,19826915;21225257;22464952;24535579,PMID
ARNT,ABCA1,1.0,ExTRI;NTNU.Curated,19828131,PMID
SCX,ADRA1D,1.0,ExTRI,19828133,default activation
IKZF1,IL10,1.0,CytReg;ExTRI;GEREDB;NTNU.Curated,19828627,PMID
PRDM2,IL10,1.0,ExTRI,19828627,default activation
IKZF1,IFNG,1.0,CytReg;ExTRI;GEREDB;NTNU.Curated,19828627;19923223,PMID
PRDM1,IDO1,1.0,ExTRI,19828629,default activation
FOS,CCL5,1.0,CytReg;ExTRI,19828633,PMID
JUNB,CCL5,1.0,ExTRI;NTNU.Curated,19828633,default activation
JUND,CCL5,1.0,CytReg;DoRothEA-A;ExTRI;HTRI;TRRUST,10760799;19828633,PMID
HIF1A,CCL5,1.0,CytReg;ExTRI,19828633,PMID
SPI1,PRDM1,1.0,ExTRI;NTNU.Curated,19828640,default activation
JARID2,PPP1CC,1.0,ExTRI,19828821,default activation
ETS2,FLI1,1.0,ExTRI;NTNU.Curated;TRRUST,19829305,PMID
FLI1,ETS2,1.0,ExTRI,8246959,default activation
GLI3,RNF123,1.0,ExTRI,19829694,default activation
THRA,KCNE1,1.0,ExTRI,19832729,default activation
MLXIPL,ARNT,-1.0,ExTRI;NTNU.Curated,19833882,PMID
MLX,ARNT,-1.0,ExTRI;NTNU.Curated,19833882,PMID
SMAD4,EIF4EBP1,1.0,ExTRI;GEREDB;NTNU.Curated,19834456,PMID
SMAD1,TRAF2,1.0,ExTRI,19836350,regulon
SP7,BMP2,1.0,ExTRI,19836350,default activation
MTA1,COP1,1.0,ExTRI,19837670,default activation
MTA1,RRM2B,1.0,ExTRI;GEREDB,19837670,default activation
TP53,MTA1,1.0,ExTRI,22286760;23552838,default activation
MTA1,TP53,1.0,ExTRI,19837670,default activation
E2F1,PTTG1,1.0,ExTRI;NTNU.Curated;Pavlidis2021;TFactS,19837943,PMID
TFDP1,PTTG1,1.0,ExTRI;NTNU.Curated,19837943,PMID
ESR1,FHL1,1.0,ExTRI,19840196,default activation
RELA,MUC5AC,1.0,ExTRI;NTNU.Curated;TRRUST,19841186,default activation
MYB,NFIB,1.0,ExTRI,19841262;20647765,default activation
ASCL1,CLN3,1.0,ExTRI,19841732,default activation
TFAP2A,SYN2,1.0,ExTRI,19842069;7592648,default activation
EGR1,SYN2,1.0,ExTRI;NTNU.Curated;TRRUST,19842069;7592648,PMID
ETV4,SYN2,1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,19842069;7592648,regulon
DBX1,DBX1,1.0,ExTRI,19842185,default activation
NR4A3,PTK2B,1.0,ExTRI,19843184,default activation
SP1,TEC,1.0,ExTRI,19843184;9177279,default activation
SPI1,TEC,1.0,ExTRI;TFactS,19843184;9177279,default activation
RELA,TEC,1.0,ExTRI,19843184,default activation
IRF1,PDGFD,1.0,ExTRI,19843519;20617571,default activation
NFATC2,TERT,1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,19843528,default activation
VSX2,NXNL1,1.0,ExTRI;NTNU.Curated,19843539,default activation
PAX4,NXNL1,1.0,ExTRI;NTNU.Curated,19843539,PMID
SP3,NXNL1,1.0,ExTRI;NTNU.Curated,19843539,PMID
VSX1,NXNL1,1.0,ExTRI;NTNU.Curated,19843539,default activation
ZNF91,NXNL1,1.0,ExTRI,19843539,default activation
IRF4,FAIM,1.0,ExTRI,19843941,default activation
ENO1,PTGS2,-1.0,ExTRI;NTNU.Curated;TRRUST,19846662;23421821,PMID
CEBPG,PIN1,1.0,ExTRI,19846884,default activation
PPARG,SLC4A1,-1.0,ExTRI;NTNU.Curated,19850645,PMID
CEBPB,PLA2G2A,1.0,ExTRI,19850938,default activation
IRF1,BBC3,1.0,ExTRI;NTNU.Curated,19851330,PMID
ATF4,SP7,1.0,ExTRI,19851510,regulon
CEBPE,EGF,1.0,ExTRI,19853299,default activation
TP53,EGF,1.0,ExTRI,19853299,default activation
CEBPE,MMP2,1.0,ExTRI;TRRUST,19853299,default activation
ZBTB7A,BCL2L11,1.0,ExTRI,19853566;22754333,default activation
PAX3,RET,1.0,ExTRI,19853745;21677782,default activation
PHOX2B,RET,1.0,ExTRI;Pavlidis2021,16127999;19853745;21677782,PMID
NKX2-1,RET,-1.0,ExTRI;GEREDB;TRRUST,15548547;17640327;18081917;19853745;21677782,PMID
HOXB3,DNMT3B,1.0,ExTRI,19854132,default activation
MYC,RASSF1,1.0,ExTRI,19854132,default activation
PDX1,ACAT1,1.0,ExTRI,19855005,default activation
PDX1,DMPK,1.0,ExTRI,19855005,default activation
MYC,RARA,1.0,DoRothEA-A;HTRI,12695333,default activation
RARA,MYC,1.0,ExTRI;NTNU.Curated,19855079,PMID
BCL6,PTPRO,-1.0,ExTRI;GEREDB,19855081,PMID
TBP,TP63,1.0,ExTRI,19858204,default activation
TBPL1,TP63,1.0,ExTRI,19858204,default activation
ESR1,GPS2,1.0,ExTRI,19858209,default activation
NR2C2,HLA-DRB1,1.0,ExTRI,19859911,default activation
NR2C2,CDKN1A,1.0,ExTRI;NTNU.Curated,19859911,PMID
NFKB2,PDLIM7,1.0,ExTRI,19860880;22083306,default activation
NR4A2,FABP5,1.0,ExTRI;NTNU.Curated,19861119,PMID
CREB1,HBG1,1.0,ExTRI;NTNU.Curated,19861239;22469229,PMID
JUN,HBG1,1.0,ExTRI,19861239,default activation
LMO2,MECOM,1.0,ExTRI,19862821,default activation
LMO2,PRDM16,1.0,ExTRI,19862821,default activation
NFE2L2,ATF3,1.0,ExTRI;NTNU.Curated,19864258;24509533,PMID
SMAD3,PTPRK,1.0,ExTRI;NTNU.Curated,19864455,regulon
SMAD4,PTPRK,1.0,ExTRI;NTNU.Curated,19864455,regulon
NCOR1,IL1B,1.0,ExTRI,19864602,default activation
NR1H4,IL1B,-1.0,ExTRI;GEREDB,19864602,PMID
E2F1,DLK1,1.0,ExTRI;GEREDB;NTNU.Curated;SIGNOR;TFactS,19874716,PMID
SP1,IRS2,1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,19755487;19875459,PMID
ZNF148,IRS2,1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,19875459,default activation
EGR2,SOCS1,1.0,ExTRI,19877014,default activation
PAX3,GHRHR,1.0,ExTRI,19878288,default activation
NR0B2,SPP1,1.0,ExTRI;GEREDB,19880446,default activation
NR1H4,SPP1,-1.0,ExTRI;GEREDB,19880446,PMID
STAT3,TNFSF11,1.0,CytReg;ExTRI;GEREDB;NTNU.Curated,10996844;17053039;19880655;19900478,PMID
BHLHE41,IL4,1.0,ExTRI;GEREDB,19881507,PMID
NEUROG3,OVOL1,1.0,ExTRI;GEREDB,19882138,default activation
SP1,CDH3,1.0,ExTRI;TRRUST,19882246;9328434,default activation
SOX2,EGFR,1.0,ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR,19882665,PMID
MAZ,EFNB2,1.0,ExTRI,19883626,default activation
SP1,EFNB2,1.0,ExTRI,19883626,default activation
ESR1,TAT,1.0,ExTRI,19886840,default activation
HLF,BIRC5,1.0,ExTRI;NTNU.Curated,19887369,PMID
TCF3,BIRC5,1.0,ExTRI;NTNU.Curated,19887369,PMID
FOXO1,EDN1,1.0,ExTRI;GEREDB;NTNU.Curated;Pavlidis2021;TRRUST,18718910;19887561,PMID
NFE2L1,SP7,1.0,ExTRI;GEREDB;NTNU.Curated,19887580,PMID
PPARG,SLC9A1,-1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,19887620;22120719,PMID
RORA,G6PC1,1.0,ExTRI,19887649;21818335,default activation
RORA,SRA1,1.0,ExTRI,19887649,default activation
RFX4,IFT172,1.0,ExTRI;SIGNOR,19887680,PMID
NR0B2,AGT,-1.0,ExTRI;GEREDB,14672953;19887897,PMID
FOXN1,COL1A2,1.0,ExTRI,19888474,default activation
TP53,PSENEN,1.0,ExTRI,19889971,default activation
RREB1,HLA-G,-1.0,ExTRI;NTNU.Curated,19890057,PMID
CDX2,BMP4,1.0,ExTRI;GEREDB;NTNU.Curated,19890878,PMID
DDIT3,CASP4,1.0,ExTRI,19890920,default activation
SUPT20H,MAPK14,1.0,ExTRI,19893488,default activation
ESR1,MME,1.0,ExTRI,19897485,default activation
ESR2,MME,1.0,ExTRI,19897485,default activation
ESR1,SLC34A2,1.0,ExTRI,19898264,default activation
NR2E3,RHO,1.0,ExTRI;TRRUST,19898638;20551322,PMID
CDX1,SLC5A8,1.0,ExTRI;GEREDB;NTNU.Curated,19900445,PMID
CDX2,SLC5A8,1.0,ExTRI;GEREDB;NTNU.Curated,19900445,PMID
CDX1,APC,1.0,ExTRI,19900445,default activation
NFKB1,FLT4,1.0,ExTRI;TRRUST,19901262,PMID
ZBTB17,TP53,1.0,ExTRI,19901969,default activation
TFCP2,SRY,1.0,ExTRI;TRRUST,19902333,default activation
TBP,LITAF,1.0,ExTRI,1990276;7862148,default activation
MYB,IGF1,1.0,ExTRI;GEREDB,19427836;1990279;21406062,PMID
NR2F1,CERK,1.0,ExTRI,19903244,default activation
RARA,CERK,1.0,ExTRI,19903244,default activation
HMGA1,MMP2,1.0,ExTRI,19903768,default activation
ATF4,IHH,1.0,ExTRI;NTNU.Curated,19906842;22879594,PMID
MEF2A,IL6,1.0,ExTRI;GEREDB,19907005,PMID
TP53,LIF,1.0,CytReg;ExTRI;GEREDB;NTNU.Curated,15193492;18046411;19907922;22032922,default activation
RELA,OLFM4,1.0,ExTRI;NTNU.Curated;TRRUST,18764868;19908244,default activation
ATOH1,POU4F3,1.0,ExTRI;GEREDB;NTNU.Curated,19908278,default activation
AR,BRD7,1.0,ExTRI;GEREDB,19909775,default activation
TCF12,KDM3A,1.0,ExTRI,19910458,default activation
JUN,PDK1,1.0,ExTRI;NTNU.Curated;TRRUST,19910471,default activation
STAT3,AATF,1.0,ExTRI,19911006,regulon
EGR1,KL,1.0,ExTRI;GEREDB,19913601,PMID
FOXJ3,MEF2C,1.0,ExTRI;GEREDB;NTNU.Curated;SIGNOR,19914232,PMID
EGR1,IL4,1.0,CytReg;ExTRI,19915002;21841136,PMID
PRDM1,TSPOAP1,1.0,ExTRI,19915049,default activation
PRDM1,CCL2,1.0,CytReg;ExTRI;SIGNOR,19915049,default activation
PRDM1,IL6,-1.0,CytReg;ExTRI,19915049,PMID
SREBF2,DDAH1,1.0,ExTRI;NTNU.Curated,19915177,PMID
FOXA1,SHH,1.0,ExTRI;NTNU.Curated,19916800,PMID
FOXA1,NES,1.0,ExTRI;GEREDB;NTNU.Curated,19916800;22783724,PMID
FOXL2,CCND2,-1.0,ExTRI;GEREDB;SIGNOR;TRRUST,19917504;21862621;22847492,PMID
FOXL2,CYP11A1,-1.0,ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST,19917504;21862621;22847492,PMID
FOXA1,RPRM,-1.0,ExTRI;NTNU.Curated;TRRUST,19917725,PMID
ESR1,RPRM,-1.0,ExTRI;NTNU.Curated,19917725,PMID
TCF12,RPRM,1.0,ExTRI,19917725,default activation
RUNX1,FOXP3,1.0,ExTRI;NTNU.Curated,19917773,default activation
RUNX3,FOXP3,1.0,ExTRI;NTNU.Curated,19917773,default activation
ETS1,CD4,1.0,ExTRI;GEREDB;NTNU.Curated;TFactS,19917777;8356078;9780181,PMID
ETS1,RUNX3,1.0,ExTRI;NTNU.Curated,19917777,regulon
ID1,PSEN1,1.0,ExTRI,19920078,default activation
MYOD1,PSEN1,1.0,ExTRI,19920078,default activation
ZEB1,AR,-1.0,DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST,19921427;22391641,regulon
KMT2A,HOXC13,1.0,ExTRI,19922474,default activation
KMT2B,HOXC13,1.0,ExTRI,19922474,default activation
ESR1,HOXC13,1.0,ExTRI;NTNU.Curated,19922474,default activation
ESR2,HOXC13,1.0,ExTRI;NTNU.Curated,19922474,default activation
CLOCK,CREBBP,1.0,ExTRI,19922678;20930143,default activation
IKZF1,TBX21,1.0,ExTRI;NTNU.Curated,19923223,default activation
GATA3,BMP2,1.0,ExTRI,19924793,default activation
GATA3,LMO4,1.0,ExTRI,19924793,default activation
GATA3,MBNL2,1.0,ExTRI;NTNU.Curated,19924793,default activation
IRF1,CXCL14,1.0,ExTRI,19929594,default activation
VDR,NFKBIA,1.0,ExTRI;GEREDB,19931640;20371119,default activation
TBPL2,MAPK8,1.0,ExTRI,19932085,default activation
DNMT3B,CXCR4,1.0,ExTRI;GEREDB,19932585;21887463,default activation
DNMT1,CXCR4,-1.0,ExTRI;TRRUST,19932585,PMID
CREB1,ADIPOQ,1.0,ExTRI;NTNU.Curated,19932681;23568554,PMID
PPARG,ALB,1.0,ExTRI;NTNU.Curated,19932685,PMID
RELA,RPS6KA4,1.0,ExTRI,19933278,default activation
HES6,HNF4A,1.0,ExTRI,19933841;24038081,default activation
HES6,PPARG,-1.0,ExTRI;NTNU.Curated,19933841;24038081,PMID
HNF4A,PPARG,1.0,ExTRI;NTNU.Curated,19933841;22190905;24038081,PMID
ESR1,AKT2,1.0,ExTRI,19933843,default activation
FOXO3,AKT2,1.0,ExTRI,19933843,default activation
FOXO3,TFF1,1.0,ExTRI,19933843,default activation
HIF1A,XPC,1.0,ExTRI;TRRUST,19934262,PMID
SP1,XPC,1.0,ExTRI;TRRUST,19934262;21507255,default activation
HIF1A,ERCC2,1.0,ExTRI;GEREDB;TRRUST,19934262,default activation
NCOA1,SIRT1,1.0,ExTRI,19934264,default activation
RARA,SIRT1,1.0,ExTRI,19934264,default activation
FOXA2,ABCB1,1.0,ExTRI;Pavlidis2021,19934400;25667220,PMID
FOXA2,CYP3A4,1.0,ExTRI,19934400,default activation
FOXA3,ABCB1,1.0,ExTRI,19934400,default activation
HNF4A,ABCB1,1.0,ExTRI,19934400,default activation
SSRP1,MMP10,1.0,ExTRI,19935709,default activation
ESR1,ADORA1,1.0,DoRothEA-A;ExTRI;HTRI,18414489;19376833;19935720,default activation
SP1,PLIN2,1.0,ExTRI,19936089,default activation
TWIST2,CD7,1.0,ExTRI;GEREDB,18355446;19937140,default activation
ETS2,MMP2,1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,19939245;22108824,PMID
FOS,RBFOX2,1.0,ExTRI,19939924,default activation
STAT1,SLC26A3,1.0,ExTRI,19940027,default activation
FOXO1,CAT,1.0,ExTRI;GEREDB;NTNU.Curated,17186497;18420577;19940161;21185807,PMID
SALL1,FGF2,1.0,ExTRI,19942929,default activation
SALL1,VEGFA,1.0,ExTRI;GEREDB,19942929,PMID
DNMT1,BRCA1,1.0,ExTRI,19943104;20631324;22197621,default activation
TFAP2A,DMD,1.0,ExTRI,19943855,default activation
AR,SLC8A1,1.0,ExTRI;NTNU.Curated,19945464,default activation
JUN,SLC8A1,1.0,ExTRI;NTNU.Curated,19945464,PMID
JUNB,SLC8A1,1.0,ExTRI;NTNU.Curated,19945464,default activation
RELA,HSPD1,1.0,ExTRI;NTNU.Curated,19945465,PMID
PITX2,RGS4,1.0,ExTRI,19945517;20630860,default activation
NUPR1,ATF4,1.0,SIGNOR,19946894,PMID
ATF4,NUPR1,1.0,ExTRI;SIGNOR;TRRUST,19946894,PMID
KAT7,BTK,1.0,ExTRI,19949111,default activation
RUNX2,BIRC5,1.0,ExTRI;NTNU.Curated,19949374,regulon
CEBPA,PLD1,1.0,ExTRI;NTNU.Curated,19950202,PMID
CEBPB,PLD1,1.0,ExTRI;GEREDB,19950202,PMID
NFE2L2,POLG,1.0,ExTRI,19951946,default activation
PPARG,HP,1.0,ExTRI;NTNU.Curated,19952271,default activation
EZH2,CDKN2A,-1.0,ExTRI;TRRUST,19954516;21572997;23289480;23826727,PMID
TP53,PRKG1,1.0,ExTRI;GEREDB,19955367,PMID
SMAD3,MDM2,1.0,ExTRI;GEREDB;NTNU.Curated,19955655,PMID
CTCF,FXN,1.0,ExTRI,19956589,default activation
ID1,CTSK,-1.0,ExTRI;NTNU.Curated,19956687,PMID
TWIST1,CDH17,1.0,ExTRI,19957372,default activation
ATF4,CASP12,1.0,ExTRI,19957376,regulon
FOS,TNFSF4,1.0,ExTRI,1996093,default activation
TP63,TNFSF4,1.0,ExTRI,1996093,default activation
RARB,ADH1C,1.0,ExTRI,1996113,default activation
SREBF1,PPARGC1A,1.0,ExTRI;GEREDB;NTNU.Curated,19962449,PMID
TP53,ING2,1.0,ExTRI,19962781,default activation
HMGB2,GFI1B,1.0,ExTRI;SIGNOR;TRRUST,19965638,PMID
POU2F1,GFI1B,1.0,ExTRI;NTNU.Curated;SIGNOR;TRRUST,19965638,PMID
EGR1,IGF1R,1.0,ExTRI;NTNU.Curated,19965784;22115966,PMID
HESX1,GNRH1,1.0,ExTRI,19965921,default activation
OTX2,GNRH1,1.0,ExTRI;NTNU.Curated,19965921;22761896,PMID
POU1F1,GNRH1,1.0,ExTRI,19965921;8625613,default activation
TFCP2,ESR1,1.0,ExTRI,19966177;21655924,default activation
SKIL,CAV1,1.0,ExTRI,19966340,default activation
YY1,DONSON,1.0,ExTRI;NTNU.Curated,19969319,default activation
SP1,PLD1,1.0,ExTRI;NTNU.Curated,19994725,PMID
SP1,KRAS,1.0,ExTRI,19994725;8887648,default activation
TP53,LMO3,1.0,ExTRI,19995558,default activation
GATA4,CYP2C9,1.0,ExTRI;Pavlidis2021,19995889,PMID
EGR1,PIN1,1.0,ExTRI,19995909,default activation
PITX1,PIN1,1.0,ExTRI,19995909,default activation
POU5F1,PRKN,1.0,ExTRI,19997087,default activation
HIF1A,PAK1,1.0,ExTRI,20001745,default activation
ZNF236,PC,1.0,ExTRI,20001964,default activation
CXXC1,ADORA2A,1.0,ExTRI,20002525,default activation
HIF1A,TLR4,1.0,ExTRI;NTNU.Curated,20002786,default activation
NFIC,L1CAM,1.0,ExTRI,20003413,default activation
NFIA,L1CAM,1.0,ExTRI,20003413,default activation
REST,L1CAM,-1.0,ExTRI;NTNU.Curated;TFactS,20003413;9298989,PMID
YBX1,MYOD1,1.0,ExTRI,20004191,default activation
FOXL2,SOX9,-1.0,ExTRI;NTNU.Curated,20005806,PMID
FOXL2,SRY,-1.0,ExTRI;NTNU.Curated,20005806,PMID
SRY,GHRHR,1.0,ExTRI,20005972,default activation
PPARA,CREB3L3,1.0,ExTRI;GEREDB;NTNU.Curated,20006574,PMID
BHLHE41,BRCA1,1.0,ExTRI;NTNU.Curated,20006609,PMID
BHLHE41,GADD45A,1.0,ExTRI,20006609,default activation
FOS,IVL,1.0,ExTRI;NTNU.Curated,20006635,default activation
ZEB1,CDKN1A,-1.0,ExTRI;NTNU.Curated,20006705;24371144,PMID
STAT6,RHOA,1.0,ExTRI;GEREDB;TRRUST,19857574;20006706;20859068,PMID
REST,KCND3,-1.0,ExTRI;NTNU.Curated,20006971,PMID
GTF2IRD1,GTF2IRD1,1.0,ExTRI,20007321;23145142,default activation
ZNF350,HMGA2,-1.0,ExTRI;TRRUST,20007691,PMID
NR2F1,MTTP,-1.0,ExTRI;TRRUST,20007910;22357705,PMID
NR2F1,APOB,1.0,ExTRI;TRRUST,1639815;20007910,default activation
FOXN1,SPG21,1.0,ExTRI,20010697,default activation
HIF1A,HES1,1.0,ExTRI;Pavlidis2021,20010940;28602625,PMID
HIF1A,HEY1,1.0,ExTRI,20010940,default activation
SOX2,AGR2,1.0,ExTRI;NTNU.Curated;TFactS,20011520,PMID
XBP1,CCNA1,1.0,ExTRI,20013084,default activation
MECOM,CA3,-1.0,ExTRI;GEREDB,20015077,PMID
ZBED6,IGF2,1.0,ExTRI;GEREDB,20016685,default activation
HOXC8,SMAD6,-1.0,ExTRI;GEREDB,20016939,PMID
STAT1,CD79A,1.0,ExTRI,20016942,default activation
STAT1,RUNX3,1.0,ExTRI,20016942,default activation
STAT1,SMAD3,1.0,ExTRI,20016942,default activation
