source,target,weight,resources,references,sign_decision
TP53,CCNB2,-1.0,ExTRI;NTNU.Curated;TRRUST,11071927;12889596;20501806;23187802,PMID
SP1,PTGIS,1.0,ExTRI,11072079,default activation
SP3,ALPL,1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,11073119,PMID
NCOR1,GH1,1.0,ExTRI,11073444,default activation
MYF5,MYF5,1.0,ExTRI,11073992;1341049;21159776;24036067,default activation
USF1,FSHR,1.0,ExTRI;NTNU.Curated,11075816;11328853;12021044;15625767;18566134;19423764;21734262;8969191,PMID
USF1,USF2,1.0,ExTRI,11075816,default activation
USF2,USF1,1.0,ExTRI,11075816;12857727;14669984;19416648,default activation
USF2,FSHR,1.0,ExTRI;NTNU.Curated,11075816;15625767;18566134;21734262,default activation
MITF,KIT,1.0,ExTRI;GEREDB;TFactS;TRRUST,11076759;11174389;19067971;19937254;1999537,PMID
MYF6,ACACB,1.0,DoRothEA-A;ExTRI;GEREDB;HTRI;TRRUST,11076940;12642900,PMID
RARA,FGFBP1,1.0,ExTRI;TRRUST,11077050,PMID
NFKB2,NGF,1.0,ExTRI,11080175,default activation
TCF3,CDKN1A,1.0,ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TRRUST,11080812;11585922;12493738;15555546;15856770;17617061;18211587;19125693;20191379;20503194;22514271;22564737;22904088;23684607;9315646,PMID
SMARCA1,H2AZ1,1.0,ExTRI,11081628,default activation
NFKB1,PTGS2,1.0,ExTRI;NTNU.Curated;TFactS;TRRUST,10827178;11082190;12067569;12349897;12466023;12471036;12622742;12871860;14988266;15234907;15368354;15387324;15517885;15547942;15555528;15655349;15997464;16210649;16624933;16820889;17556653;17673602;17767925;18057724;18294142;18973191;19618291;19766095;20103608;20669087;22001128;9266823;9988750,PMID
RELA,PTGS2,1.0,ExTRI;GEREDB;NTNU.Curated;Pavlidis2021;TRRUST,10827178;11082190;12067569;12349897;12466023;12471036;12622742;12871860;14645117;14988266;15013753;15234907;15368354;15387324;15517885;15547942;15555528;15655349;15997464;16001969;16210649;16624933;16820889;17556653;17673602;17767925;18057724;18294142;18752821;18973191;19284764;19618291;19766095;19783677;20103608;20600530;20669087;21149600;22001128;8995303;9041934;9266823;9710122,PMID
APEX1,ACTB,1.0,ExTRI,11082319;16431169,default activation
ZNF362,MDM2,1.0,ExTRI,11085543,default activation
HOXB4,HOXB4,1.0,ExTRI,11085749;12791656;19549386;23028422,default activation
USF1,HOXB4,1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,11085749;12791656;23754954,PMID
USF2,HOXB4,1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,11085749;12791656,PMID
IRF1,HLA-G,1.0,DoRothEA-A;ExTRI;HTRI;TRRUST,11087747;19758196,default activation
ESR1,AVP,1.0,ExTRI;TRRUST,11089536,default activation
ESR2,AVP,1.0,ExTRI;GEREDB;TRRUST,11089536;12834440;17412808;19383875,PMID
DNMT1,EBP,1.0,ExTRI,11089549,default activation
TBP,ERCC3,1.0,ExTRI,11089979;22848139;7521915;8087622;9400991,default activation
ZNF263,RGS19,1.0,ExTRI,11090272,default activation
SREBF1,LPL,1.0,ExTRI;GEREDB;NTNU.Curated,11090277;18974273;9788252,PMID
IRF2,IFNB1,1.0,CytReg;ExTRI;GEREDB;TRRUST,11090630;1431317;15494505;1630448;17073600;1886766;7630638;7929448;8021262;8035474;8106512;8473349;9649118;9865486,PMID
