drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
Vinblastine,0.46792372210197886,3.0793071955152658e-40,0.4466130723020464,1.2581169398819513e-39
Vinorelbine,0.4169284852508727,4.063314301811808e-39,0.38148882739462225,1.5494771870909028e-38
Vismodegib,0.4784761972618562,3.1623360615293392e-52,-0.09760093535335079,3.478569667682273e-51
Vorinostat,0.6231444900262744,4.739709340643515e-98,0.5806742798741082,1.3555568714240454e-95
WEHI-539,0.20406685915018216,5.798453615077071e-10,-0.06913297182799216,6.997290016506508e-10
WIKI4,0.10516979602015933,0.0015901146880422886,-0.31379058169541824,0.0017161237765286586
WZ4003,0.2751271108458406,4.690097014513162e-16,-0.022629456551792677,6.511493913353225e-16
Wee1 Inhibitor,0.46628850170072667,1.0033491982045756e-49,0.4019116530613147,7.551522912802859e-49
Wnt-C59,0.45059296123880965,3.0737435897673164e-43,0.05753952258849581,1.5983466666790045e-42
XAV939,0.2203560486949907,1.098863978580179e-10,-0.2929660773761825,1.3604982591945073e-10
YK-4-279,0.4214297219296979,4.675716246147763e-40,0.37391606656304516,1.8834575301383948e-39
ZM447439,0.36023206830680016,1.5405014971589728e-28,0.2557962868682225,3.1696649509889657e-28
Zoledronate,0.5409214584964698,9.088341573832993e-54,-0.29087553591210685,1.1301155174418419e-52
alpha-lipoic acid,0.42894034144701454,3.818881089163888e-33,-0.2886617259925564,9.751785638400642e-33
ascorbate (vitamin C),0.38861459029652323,7.190515527804709e-27,-0.15864719271487218,1.3801929133907027e-26
glutathione,0.30834598980360933,5.1350132596587075e-17,-0.40560018727627156,7.30653627991239e-17
