cancer,n_total,uv_netith_hr,uv_netith_p,uv_netith_ci_lower,uv_netith_ci_upper,uv_concordance,mv_n,mv_netith_hr,mv_netith_p,mv_netith_ci_lower,mv_netith_ci_upper,mv_concordance,mv_log_likelihood,mv_aic,mv_age_hr,mv_age_p,mv_age_ci_lower,mv_age_ci_upper,mv_stage_numeric_hr,mv_stage_numeric_p,mv_stage_numeric_ci_lower,mv_stage_numeric_ci_upper,mv_t_numeric_hr,mv_t_numeric_p,mv_t_numeric_ci_lower,mv_t_numeric_ci_upper,mv_n_numeric_hr,mv_n_numeric_p,mv_n_numeric_ci_lower,mv_n_numeric_ci_upper,mv_gender_male_hr,mv_gender_male_p,mv_gender_male_ci_lower,mv_gender_male_ci_upper,status,mv_grade_numeric_hr,mv_grade_numeric_p,mv_grade_numeric_ci_lower,mv_grade_numeric_ci_upper
BLCA,406,0.9167126653345751,0.711799953818907,0.5779253400540679,1.4541015119811158,0.5274201018990273,225,0.6986849229237052,0.28567104427017903,0.3617608433227963,1.349401491430409,0.7322337108156901,-407.3465470942827,826.6930941885654,1.0348815359616377,0.0008911599050921686,1.0141620889377285,1.056024283648882,1.4089721972205886,0.03863648368302673,1.0180790422692414,1.9499494342951087,1.2447716194431404,0.13118916210709056,0.9367368431666329,1.6540999704177015,1.2079828669110662,0.1668932994807185,0.9240660154758202,1.5791324237795885,0.9038603783607307,0.6319944541213893,0.597651716328962,1.3669559732690986,success,,,,
BRCA,768,0.9502511380034936,0.8759334183953194,0.5007583904599465,1.8032193618314618,0.5470928255695342,664,1.0942227212696551,0.8221823906580104,0.4989555973072315,2.39965914843825,0.7641387419165196,-322.1580592485401,656.3161184970802,1.0189583507104343,0.006150233837703722,1.0053592829227311,1.0327413673091108,1.4580209910993254,0.010962909394488424,1.0904101418179544,1.94956478205718,1.0824545159467773,0.5299093582401474,0.8453627735579735,1.3860413727021283,1.1102067093075303,0.3140778499371946,0.9057459670007464,1.3608218885841747,1.0386683865339765,0.9602924229713012,0.23325217021171038,4.625174617693359,success,,,,
CRC,382,0.5102463871187198,0.14535713003173642,0.20627599528078683,1.2621506211292848,0.5268070574843483,296,0.5627889487053109,0.3126516892440712,0.18438259856229522,1.71779442992186,0.7565188689624821,-234.30828984655344,480.61657969310687,1.0230863784764594,0.010659040789540537,1.0053205521818902,1.04116615894539,1.4108744031355809,0.026477348926706827,1.0410193325086528,1.912132195111407,1.456206348457506,0.08510618909872764,0.9493411586011902,2.233693240912946,1.303400795120842,0.0917766355090428,0.9578741973347795,1.7735665470983444,1.1575738639905129,0.5219766798961271,0.739649486679504,1.8116381809571234,success,,,,
HNSC,508,0.947278064454006,0.8615432616793955,0.5153934514071382,1.7410693305198248,0.5074105570066209,315,0.9363565434635005,0.8744943691605114,0.4140642335508169,2.117457885623709,0.6707115518441197,-556.1541859652104,1126.308371930421,1.0146036412213935,0.07580236111319257,0.9984955829761777,1.0309715599455687,1.1865419063415803,0.19712902588226403,0.9149580671622928,1.5387390373759997,1.1684819759954281,0.1303162627360816,0.9550256805154079,1.4296475540734448,1.3373341794874045,0.003508350838538224,1.10023220417594,1.6255320475415331,0.8504987895325918,0.39829099317078964,0.5841046559579096,1.238387990265443,success,1.074179464259098,0.6114529898697112,0.8150352234453391,1.4157198219707954
KIRC,308,0.37926878573414446,0.006515785482282467,0.18863272980086424,0.762565499550934,0.5836419426515712,111,0.4124797280581208,0.19168314817591675,0.10915733507908819,1.558663244532577,0.8266783677051338,-122.5558086980444,259.11161739608883,1.0193820383612069,0.21098091363096505,0.9891768814439106,1.0505095293135107,1.5404922071930351,0.011813074459194134,1.1004498945016186,2.1564964041340815,1.04682666914935,0.8290234830501289,0.691026332889827,1.5858239014706808,1.6034708562171947,0.5056359858792144,0.3992732321557645,6.439497015254101,1.142203999567726,0.6828279886067674,0.6036217091657675,2.161337070582779,success,1.5536126881698284,0.04242633381529494,1.0151704228923424,2.377642541993417
LIHC,360,0.5704837813170962,0.1190481605756219,0.28167679440598015,1.1554084369363409,0.5709071553494031,169,0.4900106676627419,0.2543560785604752,0.14371694812388627,1.6707177375928348,0.6729178157749587,-206.77890807266073,427.55781614532145,1.0081933599942845,0.4239334874792001,0.9882286243793601,1.028561434126573,1.2746232944523708,0.2317549406124499,0.8563751701585562,1.8971411121831236,1.2265951388118321,0.2838194902968471,0.8442927861723863,1.7820069757763202,0.8906687680656917,0.8995885927165598,0.14745549779446182,5.379866239463143,0.631707000710968,0.08378481417732268,0.37531984589328715,1.0632364345068708,success,1.0098016172029036,0.9545457489100497,0.7220643221168415,1.4122000975151299
LUAD,443,1.1111399757232718,0.6448246964585398,0.7098478187314962,1.7392911735033727,0.5136075522589346,312,0.8939258044619264,0.6838464528366309,0.5210912113424578,1.5335191354009168,0.6647354419154596,-472.18910662337294,956.3782132467459,1.0043472109384433,0.6295034585742998,0.9868024033629386,1.0222039556067364,1.3155286945942273,0.020457315383594552,1.0432532110201496,1.658864528783479,1.227205000449798,0.061806698911645676,0.9899346143153888,1.521345037692736,1.1984491202059246,0.17198107995016185,0.9242799919430272,1.5539450234154664,1.0484034229837724,0.7914361728533028,0.7385506739888725,1.4882522974187296,success,,,,
