cancer,uv_concordance,mv_concordance,uv_netith_hr,uv_netith_p,mv_netith_hr,mv_netith_p,mv_n
BLCA,0.5274201018990273,0.7322337108156901,0.9167126653345751,0.711799953818907,0.6986849229237052,0.28567104427017903,225
BRCA,0.5470928255695342,0.7641387419165196,0.9502511380034936,0.8759334183953194,1.0942227212696551,0.8221823906580104,664
CRC,0.5268070574843483,0.7565188689624821,0.5102463871187198,0.14535713003173642,0.5627889487053109,0.3126516892440712,296
HNSC,0.5074105570066209,0.6707115518441197,0.947278064454006,0.8615432616793955,0.9363565434635005,0.8744943691605114,315
KIRC,0.5836419426515712,0.8266783677051338,0.37926878573414446,0.006515785482282467,0.4124797280581208,0.19168314817591675,111
LIHC,0.5709071553494031,0.6729178157749587,0.5704837813170962,0.1190481605756219,0.4900106676627419,0.2543560785604752,169
LUAD,0.5136075522589346,0.6647354419154596,1.1111399757232718,0.6448246964585398,0.8939258044619264,0.6838464528366309,312
