cancer,n,n_events,nb_full_tau10,nb_full_tau20,nb_full_tau30,delta_vs_clinical_tau20,delta_vs_treatall_tau20,utility_min,utility_max
BLCA,225,90,0.06765432098765432,0.12777777777777777,0.15619047619047619,0.0077337249143416414,-0.10555555555555557,0.28,0.46
BRCA,664,63,0.012215528781793841,-0.010542168674698794,-0.0682013769363167,-0.005302647716614962,0.15286144578313254,0.11,0.42000000000000004
CRC,296,50,0.052552552552552555,0.05067567567567568,0.01592664092664092,,0.10219594594594597,0.12,0.5
HNSC,315,111,0.05573192239858907,0.10873015873015873,0.11564625850340136,0.031746031746031744,-0.0579365079365079,0.25,0.5
KIRC,111,33,0.0880880880880881,0.15090090090090091,0.15186615186615188,0.035856653113290296,0.06306306306306306,0.17,0.39
LIHC,169,47,0.04799474030243261,0.06804733727810651,0.073541842772612,-0.007396449704142008,-1.3877787807814457e-17,0.28,0.5
LUAD,312,100,0.056267806267806274,0.08173076923076923,0.07692307692307693,0.0,-0.044871794871794865,0.24000000000000002,0.42000000000000004
