k,combo,tfs,n_tfs,delta_netith_pred,abs_delta
4,ATF4+FOXP3+HEYL+AEBP1,"AEBP1,ATF4,FOXP3,HEYL",4,-0.18464263709139767,0.18464263709139767
4,SMAD7+HEYL+HES1+AEBP1,"AEBP1,HES1,HEYL,SMAD7",4,-0.1846031519678341,0.1846031519678341
4,ATF4+RARG+NFIA+HOXC13,"ATF4,HOXC13,NFIA,RARG",4,-0.18458298207184143,0.18458298207184143
4,ZBTB20+RARG+SRF+HOXC13,"HOXC13,RARG,SRF,ZBTB20",4,-0.18456136795428657,0.18456136795428657
4,RARG+DNMT3B+HOXC13+AEBP1,"AEBP1,DNMT3B,HOXC13,RARG",4,-0.18454031884111724,0.18454031884111724
3,ZBTB20+ZNF202+HOXC13,"HOXC13,ZBTB20,ZNF202",3,-0.18437423391700336,0.18437423391700336
4,ATF4+PAX3+SMAD7+ZNF165,"ATF4,PAX3,SMAD7,ZNF165",4,-0.18433665413417338,0.18433665413417338
3,PAX3+ZBTB20+HES1,"HES1,PAX3,ZBTB20",3,-0.18433241053655203,0.18433241053655203
4,ATF4+NFIA+SRF+ZNF165,"ATF4,NFIA,SRF,ZNF165",4,-0.1843266310574076,0.1843266310574076
4,HEYL+NFIA+NPM1+AEBP1,"AEBP1,HEYL,NFIA,NPM1",4,-0.18431191945357328,0.18431191945357328
4,FOXP3+ZBTB20+DNMT3B+ZNF202,"DNMT3B,FOXP3,ZBTB20,ZNF202",4,-0.1842894890269088,0.1842894890269088
4,DNMT3B+SRF+AEBP1+ZNF165,"AEBP1,DNMT3B,SRF,ZNF165",4,-0.18428396782668338,0.18428396782668338
4,SFPQ+DNMT3B+HES1+HOXC13,"DNMT3B,HES1,HOXC13,SFPQ",4,-0.1842204358984344,0.1842204358984344
4,RARG+HES1+NFIA+AEBP1,"AEBP1,HES1,NFIA,RARG",4,-0.18421408923315247,0.18421408923315247
4,PAX3+HES1+NFIA+HOXC13,"HES1,HOXC13,NFIA,PAX3",4,-0.1841151230895094,0.1841151230895094
4,ZBTB20+RARG+SFPQ+NPM1,"NPM1,RARG,SFPQ,ZBTB20",4,-0.18405924171775173,0.18405924171775173
4,SMAD7+ZNF202+AEBP1+ZNF165,"AEBP1,SMAD7,ZNF165,ZNF202",4,-0.18400958467593576,0.18400958467593576
4,HES1+NPM1+HOXC13+ZNF165,"HES1,HOXC13,NPM1,ZNF165",4,-0.18396118656012572,0.18396118656012572
