drug,n,rho_original,p_original,rho_phospho,p_phospho,rho_kinase_only,p_kinase_only,rho_combined,p_combined,delta_phospho,delta_combined
IWP-2,839,0.2805252750441221,1.2290236937839622e-16,0.18457337022667952,7.259893337130202e-08,,,-0.08837648280814228,0.0104351856586521,-0.09595190481744259,-0.3689017578522644
N29087-69-1,718,0.30135467750123807,1.5380368022886594e-16,0.20575960296522736,2.6446866300103772e-08,,,-0.08702643901284725,0.019685854907517383,-0.09559507453601071,-0.3883811165140853
Vinorelbine,899,0.27956832346094357,1.323592075237209e-17,0.18398735541346362,2.754299922242601e-08,,,-0.10506074141605826,0.0016081668473955431,-0.09558096804747995,-0.3846290648770018
GNE-317,887,0.09544428546008935,0.004440270524710679,0.00037379244817511623,0.9911302657533416,,,-0.0911728925400189,0.006583827228639429,-0.09507049301191423,-0.18661717800010824
CT7033-2,716,0.27126286209991596,1.5277651023415552e-13,0.17641319434171404,2.0387329283427177e-06,,,-0.09197344811753078,0.013817938575818877,-0.09484966775820192,-0.36323631021744673
720427,691,0.2587965618338535,4.8920365034955334e-12,0.16405346593494283,1.4639562409056843e-05,,,-0.08485787722736843,0.025705331759408367,-0.0947430958989107,-0.34365443906122195
AZD5363,900,0.1238839060295136,0.00019476411109212182,0.02941870298605307,0.37803355389893656,,,-0.09189782538826181,0.005798862100437834,-0.09446520304346054,-0.2157817314177754
Pyridostatin,893,0.236027104385837,9.030888480183474e-13,0.14160748996581074,2.164934817655664e-05,,,-0.0990997034983073,0.003031169972280299,-0.09441961442002625,-0.3351268078841443
Fludarabine,691,0.20619529665330544,4.518258651074089e-08,0.11211021393429835,0.003167469328446024,,,-0.09775194590703948,0.01013756642683181,-0.09408508271900709,-0.3039472425603449
Epirubicin,900,0.24970962515591585,2.924499075192822e-14,0.15570399469628976,2.6885891988361206e-06,,,-0.09274357128835962,0.0053619660812541,-0.0940056304596261,-0.34245319644427547
Leflunomide,840,0.2968566322474137,1.4981972448300684e-18,0.2029103134864339,2.9568177716010936e-09,,,-0.08718604435987821,0.011473266536681306,-0.09394631876097981,-0.3840426766072919
Daporinad,551,0.24149638099610482,9.408948742895967e-09,0.14782314584334627,0.0004992227897961299,,,-0.10944126023112845,0.010144939943403002,-0.09367323515275855,-0.35093764122723325
MK-2206,910,0.18846344339383217,1.011289356011471e-08,0.09480055398695562,0.004205908059153823,,,-0.09089444354140967,0.00607226714406206,-0.09366288940687655,-0.27935788693524183
AZD5438,691,0.25400985419472494,1.2313174424506695e-11,0.1615855164359632,1.9726309192749417e-05,,,-0.0746262305468398,0.04989373210883898,-0.09242433775876174,-0.32863608474156475
GSK1904529A,907,0.23985316913032195,2.46709784985921e-13,0.14759102015974082,8.072545525603159e-06,,,-0.09028998747766069,0.006508032602477278,-0.09226214897058113,-0.33014315660798266
Nilotinib,897,0.19825899807077785,2.1098380367215406e-09,0.10609644301665216,0.0014619191962175343,,,-0.09614919069504137,0.003947473566674763,-0.09216255505412568,-0.2944081887658192
VE821,895,0.26548337680841144,6.658946262165353e-16,0.17413946461378593,1.5843566062172177e-07,,,-0.08854417183993314,0.008038664401905937,-0.09134391219462551,-0.35402754864834457
