cancer,n,netith_coexpr_d,netith_coexpr_p,netith_e_d,netith_e_p
BCC,13,0.2477954570497075,0.7307692307692307,0.6408374779901281,0.5337995337995338
ER+,19,2.3095448971202663,0.0020639834881320948,0.2784109834468286,0.8751289989680083
MBM,21,-0.9098720434536186,0.05066103315249452,0.3740048956608904,0.3027893674905605
Mel,36,0.2692804983062152,0.35831448027351975,0.9766982733230505,0.1156441071052077
TNBC,18,0.20209259528616397,0.7618264088852323,0.2958924105489376,0.965400612459436
