,sample,netith_bulk
TCGA-2F-A9KR-01,TCGA-2F-A9KR-01,3.1248846888264423
TCGA-2F-A9KT-01,TCGA-2F-A9KT-01,2.95604232198916
TCGA-2F-A9KW-01,TCGA-2F-A9KW-01,2.285910451047632
TCGA-4Z-AA7M-01,TCGA-4Z-AA7M-01,3.074439624246817
TCGA-4Z-AA7N-01,TCGA-4Z-AA7N-01,3.44444056053534
TCGA-4Z-AA7O-01,TCGA-4Z-AA7O-01,3.270210597031238
TCGA-4Z-AA7Q-01,TCGA-4Z-AA7Q-01,3.3878093727947256
TCGA-4Z-AA7R-01,TCGA-4Z-AA7R-01,2.9420216136058643
TCGA-4Z-AA7S-01,TCGA-4Z-AA7S-01,3.4268862514064398
TCGA-4Z-AA7W-01,TCGA-4Z-AA7W-01,2.7883694383096107
TCGA-4Z-AA7Y-01,TCGA-4Z-AA7Y-01,3.3963500576917163
TCGA-4Z-AA80-01,TCGA-4Z-AA80-01,2.3305970520494586
TCGA-4Z-AA81-01,TCGA-4Z-AA81-01,3.2708170390448124
TCGA-4Z-AA82-01,TCGA-4Z-AA82-01,3.3715279600956434
TCGA-4Z-AA83-01,TCGA-4Z-AA83-01,3.4154752210924006
TCGA-4Z-AA84-01,TCGA-4Z-AA84-01,2.8143488778770034
TCGA-4Z-AA86-01,TCGA-4Z-AA86-01,3.0006808641726663
TCGA-4Z-AA87-01,TCGA-4Z-AA87-01,3.22864703696022
TCGA-4Z-AA89-01,TCGA-4Z-AA89-01,2.9947688888841766
TCGA-5N-A9KI-01,TCGA-5N-A9KI-01,3.1824933199034753
TCGA-5N-A9KM-01,TCGA-5N-A9KM-01,3.2265863667813237
TCGA-BL-A0C8-01,TCGA-BL-A0C8-01,2.808801012104567
TCGA-BL-A13I-01,TCGA-BL-A13I-01,2.627378862715619
TCGA-BL-A13J-01,TCGA-BL-A13J-01,3.0309420685182555
TCGA-BL-A13J-11,TCGA-BL-A13J-11,3.1063748020792894
TCGA-BL-A3JM-01,TCGA-BL-A3JM-01,3.0188389699221303
TCGA-BL-A5ZZ-01,TCGA-BL-A5ZZ-01,2.9175207766592473
TCGA-BT-A0S7-01,TCGA-BT-A0S7-01,2.842125582983789
TCGA-BT-A0YX-01,TCGA-BT-A0YX-01,3.0892994854610483
TCGA-BT-A20J-01,TCGA-BT-A20J-01,3.230053464677222
TCGA-BT-A20N-01,TCGA-BT-A20N-01,3.026511801730845
TCGA-BT-A20N-11,TCGA-BT-A20N-11,3.3087398195828355
TCGA-BT-A20O-01,TCGA-BT-A20O-01,3.0483449083006544
TCGA-BT-A20P-01,TCGA-BT-A20P-01,2.8604118573717034
TCGA-BT-A20Q-01,TCGA-BT-A20Q-01,2.9690458151669614
TCGA-BT-A20Q-11,TCGA-BT-A20Q-11,3.161531934754593
TCGA-BT-A20R-01,TCGA-BT-A20R-01,3.3158266305154003
TCGA-BT-A20R-11,TCGA-BT-A20R-11,3.5286603057542263
TCGA-BT-A20T-01,TCGA-BT-A20T-01,2.9054143627649354
TCGA-BT-A20U-01,TCGA-BT-A20U-01,3.2449466646466396
TCGA-BT-A20U-11,TCGA-BT-A20U-11,3.3825024333781992
TCGA-BT-A20V-01,TCGA-BT-A20V-01,2.858341562063277
TCGA-BT-A20W-01,TCGA-BT-A20W-01,2.6543466935274185
TCGA-BT-A20W-11,TCGA-BT-A20W-11,3.0836719524413674
TCGA-BT-A20X-01,TCGA-BT-A20X-01,3.104684848042649
TCGA-BT-A2LA-01,TCGA-BT-A2LA-01,3.4362990428121933
TCGA-BT-A2LA-11,TCGA-BT-A2LA-11,3.2643303999927116
TCGA-BT-A2LB-01,TCGA-BT-A2LB-01,3.146050381214329
TCGA-BT-A2LB-11,TCGA-BT-A2LB-11,3.098408247008572
TCGA-BT-A2LD-01,TCGA-BT-A2LD-01,3.224545025983886
TCGA-BT-A3PH-01,TCGA-BT-A3PH-01,3.488523687596854
TCGA-BT-A3PJ-01,TCGA-BT-A3PJ-01,3.053338253287155
TCGA-BT-A3PK-01,TCGA-BT-A3PK-01,2.831299038472544
TCGA-BT-A42C-01,TCGA-BT-A42C-01,2.7774845148400087
TCGA-BT-A42E-01,TCGA-BT-A42E-01,3.157310717682341
TCGA-BT-A42F-01,TCGA-BT-A42F-01,3.0835840782509347
TCGA-C4-A0EZ-01,TCGA-C4-A0EZ-01,2.9894676528904256
TCGA-C4-A0F0-01,TCGA-C4-A0F0-01,3.106402088510006
TCGA-C4-A0F1-01,TCGA-C4-A0F1-01,3.2089553576210808
TCGA-C4-A0F6-01,TCGA-C4-A0F6-01,2.960017923139747
TCGA-C4-A0F7-01,TCGA-C4-A0F7-01,3.0216720933781964
TCGA-CF-A1HR-01,TCGA-CF-A1HR-01,3.201979588257412
TCGA-CF-A1HS-01,TCGA-CF-A1HS-01,3.164203889794534
TCGA-CF-A27C-01,TCGA-CF-A27C-01,3.093017844788715
TCGA-CF-A3MF-01,TCGA-CF-A3MF-01,2.7132737114690326
TCGA-CF-A3MG-01,TCGA-CF-A3MG-01,3.4190213863710457
TCGA-CF-A3MH-01,TCGA-CF-A3MH-01,3.275228583069756
TCGA-CF-A3MI-01,TCGA-CF-A3MI-01,2.986244695957402
TCGA-CF-A47S-01,TCGA-CF-A47S-01,2.899556882076939
TCGA-CF-A47T-01,TCGA-CF-A47T-01,2.4292759556669523
TCGA-CF-A47V-01,TCGA-CF-A47V-01,3.385682655652125
TCGA-CF-A47W-01,TCGA-CF-A47W-01,3.2322289386005667
TCGA-CF-A47X-01,TCGA-CF-A47X-01,3.265122050211261
TCGA-CF-A47Y-01,TCGA-CF-A47Y-01,3.148880145612321
TCGA-CF-A5U8-01,TCGA-CF-A5U8-01,2.876541161396573
TCGA-CF-A5UA-01,TCGA-CF-A5UA-01,2.847769075494517
TCGA-CF-A7I0-01,TCGA-CF-A7I0-01,2.4879312165988585
TCGA-CF-A8HX-01,TCGA-CF-A8HX-01,3.355890340890695
TCGA-CF-A8HY-01,TCGA-CF-A8HY-01,2.5764386086816278
TCGA-CF-A9FF-01,TCGA-CF-A9FF-01,2.9250102469767443
TCGA-CF-A9FH-01,TCGA-CF-A9FH-01,2.782244187012407
TCGA-CF-A9FL-01,TCGA-CF-A9FL-01,3.4677491346626175
TCGA-CF-A9FM-01,TCGA-CF-A9FM-01,3.043692775718262
TCGA-CU-A0YN-01,TCGA-CU-A0YN-01,2.912962788051901
TCGA-CU-A0YN-11,TCGA-CU-A0YN-11,3.2717602787591074
TCGA-CU-A0YO-01,TCGA-CU-A0YO-01,3.137392396666623
TCGA-CU-A0YR-01,TCGA-CU-A0YR-01,2.661072888477055
TCGA-CU-A0YR-11,TCGA-CU-A0YR-11,3.3429076450325867
TCGA-CU-A3KJ-01,TCGA-CU-A3KJ-01,2.879947362220194
TCGA-CU-A3QU-01,TCGA-CU-A3QU-01,3.339139613225123
TCGA-CU-A3YL-01,TCGA-CU-A3YL-01,2.4099882646839594
TCGA-CU-A5W6-01,TCGA-CU-A5W6-01,2.959514696031379
TCGA-CU-A72E-01,TCGA-CU-A72E-01,3.2486754409115135
TCGA-DK-A1A3-01,TCGA-DK-A1A3-01,2.9575376453046913
TCGA-DK-A1A5-01,TCGA-DK-A1A5-01,2.8212099550855037
TCGA-DK-A1A6-01,TCGA-DK-A1A6-01,3.165320145630198
TCGA-DK-A1A7-01,TCGA-DK-A1A7-01,2.5530962111890387
TCGA-DK-A1AA-01,TCGA-DK-A1AA-01,3.40744051929602
TCGA-DK-A1AB-01,TCGA-DK-A1AB-01,2.5744171478831697
TCGA-DK-A1AC-01,TCGA-DK-A1AC-01,3.0175356493263963
TCGA-DK-A1AD-01,TCGA-DK-A1AD-01,3.3465926365230922
TCGA-DK-A1AE-01,TCGA-DK-A1AE-01,3.4820347518576322
TCGA-DK-A1AF-01,TCGA-DK-A1AF-01,3.162135049817323
TCGA-DK-A1AG-01,TCGA-DK-A1AG-01,3.1120061728830635
TCGA-DK-A2HX-01,TCGA-DK-A2HX-01,3.0270193961465104
