gene,d_expr,fdr_expr,dnetith_expr,is_tf,d_ceres,fdr_ceres,dnetith_ceres,concordant,both_sig
IKZF1,-1.175799372783159,2.818635041986683e-28,-0.22391962592173176,False,-1.019120311406613,0.02306086872197988,-0.20410686345644358,True,True
DSTN,1.1178718903485911,5.0857737949028095e-27,0.22744216649125182,False,-0.40516635616555335,0.48848406092327257,-0.09248130868910565,False,False
PARVA,1.0802584171926184,2.549796088347305e-25,0.20923824306646566,False,0.24800970755456428,0.759098848292241,0.05647330042254861,True,False
ITGB5,1.0133927723553735,1.0201102068354873e-22,0.2024808915036198,False,0.8775868370361064,0.014576987595931937,0.18414105952032322,True,True
AGAP2,-1.0110149449627,4.9826870724119725e-24,-0.20529063745999476,False,0.6559079836813427,0.5277271838919383,0.1199752908696512,False,False
NCKAP1L,-0.9757967755620608,5.837773090324993e-22,-0.19696639798580584,False,-1.3802175028630292,0.0011830664807581444,-0.290198639026082,True,True
ARHGAP45,-0.9598348730693257,1.0115202812744358e-22,-0.19110126801488292,False,-0.7669275185142739,0.11785707374073687,-0.16486396841011963,True,False
DENND1C,-0.9571840226839522,5.39524416578357e-22,-0.1908737907837006,False,0.10582848810482409,0.8155951834890232,0.020329314672704157,False,False
IRF8,-0.9563526456993223,2.2948247039863617e-22,-0.2004292678120274,False,-1.5966529951236985,0.005576579236610512,-0.2979970736412323,True,True
ARHGAP9,-0.9484117912003499,2.7763400484213234e-21,-0.19311188427619097,False,0.1100698715152455,0.7788252512612243,0.023037770361446164,False,False
FMNL1,-0.947651121273808,1.5117564019602756e-20,-0.19883306618449303,False,0.5437314150467213,0.5348696207828504,0.10895972155629696,False,False
TBC1D10C,-0.9341544257707817,5.388140771447628e-21,-0.1986672256017954,False,0.05127528079262936,0.8951748636193857,0.012704196673055002,False,False
GGA3,-0.9241257257567095,6.467151725164415e-21,-0.19355504111575872,False,0.11091745126846637,0.9185720408275205,0.025550188566183074,False,False
ENAH,0.9216533930734084,3.48073405889951e-21,0.18814011727358615,False,0.29721216588237437,0.6426268659236241,0.06886391216528054,True,False
GPX8,0.9105284384342773,2.7225804616651767e-22,0.18996798013315708,False,0.4241121242666278,0.17881781695829474,0.10976206643394892,True,False
RBM15,-0.9053515914936098,1.1063962837020717e-19,-0.18434950324827604,False,-0.2902295131875075,0.23201754425513607,-0.06447906208417109,True,False
PPTC7,-0.9052143872152141,3.183371643451245e-20,-0.18487544658649302,False,0.12115992574406022,0.9804557806975261,0.03129347902279722,False,False
GRK2,-0.8990445184739966,6.272312743690386e-21,-0.18388889418216348,False,0.065311411990521,0.9399573039600613,0.01587966021887688,False,False
TSEN34,0.8985851623825409,3.036220464615843e-19,0.18453836467627305,False,-0.4695560872824863,0.6130315863765501,-0.107610158283161,False,False
CD79B,-0.8892465281423559,4.746755345770433e-19,-0.18446520032575542,False,-1.5409776271975635,0.0032660537680264667,-0.2729103202390899,True,True
WSB2,0.888526518909882,1.9152860203595397e-19,0.1879183966868716,False,0.06831632592833298,0.9471288736778624,0.014766777866813463,True,False
RNF11,0.881515675016344,3.968200512737871e-20,0.19454833369663493,False,-0.3609170159656759,0.7366115279528247,-0.07836168897101814,False,False
TNFRSF12A,0.8798437985854873,7.9757669951046315e-19,0.17047705766995502,False,0.45549934018224464,0.5710659053049805,0.10146042346151685,True,False
ARF4,0.8689775908417636,5.696284762124576e-18,0.17947925911094487,False,-0.12665624500210873,0.8886426644997836,-0.03625776458893526,False,False
POLR1D,-0.8682484154951041,2.4012887095986364e-19,-0.18320557909845725,False,-0.010829232631060256,0.8951748636193857,-0.0025536340758307574,True,False
RIPK3,-0.8630447582037619,1.2975258300500631e-19,-0.18317916669423884,False,-0.10182428376895483,0.8404158788824715,-0.02638012255714184,True,False
FERMT3,-0.8603325901040325,3.447434752449321e-18,-0.1791488022969565,False,0.05781696922741772,0.9901887421975374,0.012778501744060478,False,False
IL6ST,0.8529510713442106,9.673937200469217e-18,0.1791904163224345,False,-0.0992055795081006,0.9358891581242419,-0.023908282672354453,False,False
WWTR1,0.850028553696111,1.0383283613067122e-18,0.17164001326299605,False,0.29316255642428557,0.2305790185715033,0.06816712887953358,True,False
KIFBP,0.846679884534231,2.0356232482494056e-18,0.17939457055342256,False,-0.17536950356198258,0.887474497563114,-0.04493674852358076,False,False
SELENOW,0.84631350244584,6.267820151044853e-17,0.1793743020876617,False,-0.07634992753298164,0.8159869888213407,-0.01805700496385576,False,False
SYK,-0.8392639552577433,1.9936232693296704e-18,-0.1827951963005363,False,-1.1455723408728702,0.018935266501486744,-0.21399251495630622,True,True
CD151,0.8386631963790713,2.5891557356713086e-17,0.1631270961525484,False,0.22359204095724583,0.7417926549120735,0.05345880832399175,True,False
RHOC,0.8383086321022474,1.260154604147658e-16,0.1794112374252137,False,0.13895045998403333,0.8484657113806351,0.031776297258051756,True,False
RHOH,-0.8347027692235381,1.7224230189305387e-19,-0.18577168370110808,False,-0.781304304058679,0.22476873358654872,-0.15778235844806598,True,False
RAB13,0.8255486860187727,1.4659594908437195e-18,0.1690998806934081,False,-0.35372571640711176,0.5581580351050326,-0.07690730559678371,False,False
PLAGL2,-0.8227555898261671,4.0158158227253575e-17,-0.17094129958908066,False,-0.6336761513378004,0.11159501306996819,-0.14187596666621527,True,False
FAM177A1,0.8225387531097761,3.8057218143816555e-16,0.17204741057367023,False,-0.08553146662777539,0.8517690818410698,-0.020056175406858223,False,False
GFI1,-0.8189961739813477,4.203471136344267e-17,-0.16690662280607516,False,-0.9772803272151772,0.08652959208374497,-0.21496021304004476,True,False
DDN,-0.8181275553962363,1.0162074391920035e-17,-0.16635137597651273,False,0.6638244386685105,0.1863483031227864,0.12843688931661568,False,False
CD276,0.8170720097614206,1.4721084503975773e-17,0.1693781609252909,False,0.023605756222237765,1.0,0.005351360597175336,True,False
POU2F1,-0.815994257940432,2.6655535628453492e-17,-0.1676340649180723,False,-0.16387017269724466,0.871290656560024,-0.038443965227028976,True,False
