cell_line,NetITH
KGN,5.8487758830165655
LC4-1,5.420517776215556
LU-165,5.8325438260265425
LS-1034,5.5005920161632575
LOUCY,5.599702810918058
GB-1,5.616337244136521
GT3TKB,5.643332535946764
MKN7,5.631991597549447
Mo-T,5.71056262677949
MEC-1,5.581571380403668
MS751,5.643047346244377
MZ7-mel,5.657537891668265
MDST8,5.671869799668094
U-118-MG,5.796339162592076
WM1552C,5.806401854124853
YH-13,5.845742498241719
TE-1,5.779761884130585
TE-8,5.945006646324795
SiHa,5.834897544949555
SCC-9,5.597126963951441
SNU-182,5.8685283004203965
SK-N-SH,5.731978300157187
MS-1,5.436833822635731
MZ2-MEL,5.437587053957528
MOLM-13,5.201329944819693
U-698-M,5.389593826429903
WM793B,5.531924117933594
YAPC,5.584211764689374
TE-10,5.503686602424596
TE-9,5.540638042199597
SLVL,5.563466559613617
SNU-449,5.853050074837528
SW780,5.398302514041055
SK-N-FI,5.946874144436049
MV-4-11,5.326100559255712
MZ1-PC,5.86828660902275
MOLT-4,5.549383458847933
UACC-893,6.0676899643427475
WM278,5.838162742722284
ZR-75-30,6.0658670863875495
TOV-21G,6.108917150070027
TGBC11TKB,5.7393109916976925
SNB75,6.062748954933029
SW900,5.65095085356284
SK-HEP-1,5.481101264942376
ML-1,5.850306773490823
MG-63,5.646679823205524
M059K,5.7401698352704145
VCaP,5.511765087774543
WSU-NHL,5.477523501480533
YKG-1,5.736570972586193
TE-12,5.777513977855373
THP-1,5.287748880650834
SNU-475,5.66760150167881
SUP-B15,5.5504450063573
SK-OV-3,5.763945164504913
ST486,5.712510368696335
ML-2,5.480563145816788
MHH-PREB-1,5.483322406036857
U-266,5.497583129245674
VAL,5.553123284438545
WM35,5.762740873838645
U031,5.833260292496781
TE-11,5.296326557360358
T-T,5.864720751163085
SU-DHL-8,5.436139554475037
SK-MEL-24,5.780358672195481
SW837,5.664016394535368
T-24,5.44203931993669
MRK-nu-1,5.806269126059102
MCF7,6.275632580968105
UM-UC-3,5.371700757246548
VM-CUB-1,5.776239940145684
WIL2-NS,5.432734601996391
SBC-1,5.852687723276331
TE-15,5.489325845026216
TT2609-C02,5.863618600962118
SK-MEL-5,5.658284916812717
SW1990,5.646897340860379
SW620,5.614553667973729
T47D,6.160995356444143
MKN28,5.908605969428753
MMAC-SF,6.035132684830237
U251,5.686705498129126
VA-ES-BJ,5.915941638851207
WSU-DLCL2,5.435291430066226
SAS,5.732864712177378
TE-5,5.463233702849037
TUR,5.352671392052285
SJRH30,5.370498943647773
SW872,6.024368156338209
SNU-387,5.837632588676782
