tf_a,tf_b,n,beta_a,beta_b,beta_interaction,p_interaction
JUN,NPM1,317,-0.1264316936320556,0.10705520455159367,0.00691721095650484,0.8921078921078921
BLNK,IRF2,572,0.15015134238692768,0.10963824943778315,-0.005685713827473737,0.9020979020979021
MCL1,IRF2,572,0.06863151143848681,0.1028290160732755,-0.005068636922480086,0.906093906093906
SELP,CD4,572,-0.08180335692951571,0.09715294210825481,0.0053323084823416605,0.906093906093906
TEAD2,NPM1,317,0.1017818408977482,0.10645083439733984,-0.005114090434294921,0.919080919080919
HMGB1,NPM1,317,0.2439663594541606,0.1088098460679452,0.004895507816559869,0.9200799200799201
CCL19,SERPINA3,572,-0.065412270647838,0.09071086864343558,0.003949431952965168,0.922077922077922
MCL1,KLF6,572,0.08022683577642561,0.09175295305981776,0.0040181791407039695,0.9270729270729271
MCL1,SERPINA3,572,0.0840790846909942,0.09385574992131368,-0.0036294556263342242,0.9310689310689311
BLNK,ANXA1,572,0.15986408310381506,-0.08163705096804881,-0.0036905591881177813,0.932067932067932
JUN,GZMB,572,-0.1358266859287975,-0.040389599036609894,-0.0030488082613972234,0.936063936063936
CDC42,SLC7A11,572,-0.14071590550901059,0.13234256270545267,0.003552200987090387,0.9400599400599401
GZMB,ANXA1,572,-0.04281005547782207,-0.06045893263649029,0.002276882933468359,0.949050949050949
SELP,JUN,572,-0.06928538459644401,-0.13155841757353484,0.0025723303600712344,0.951048951048951
TEAD2,GZMB,572,0.08091254061709444,-0.05288550911415003,0.0024720068839235807,0.954045954045954
HMGB1,SLC7A11,572,0.16818756667995188,0.11378861176477661,-0.0015094123721606234,0.974025974025974
CCL22,BLNK,572,0.07660519037389378,0.15173250054305132,-0.0009141721292151625,0.975024975024975
SELP,BLNK,572,-0.0857832752760642,0.15361910442992444,0.0010168472430582458,0.977022977022977
CCL22,CD4,572,0.06643675373116743,0.08942325930595958,0.0006353850664124749,0.989010989010989
SELP,MCL1,572,-0.07750009615500891,0.07545765036071266,-0.0004294692814646034,0.9920079920079921
CCL22,FCRL6,572,0.05950543743056811,0.12385704586994582,0.0004375850070842541,0.993006993006993
