drug,pathway,eri,eri_weighted,slope,r_squared,ic50_range,netith_range
AMG-319,PI3K/MTOR signaling,0.3595381125193675,0.023065959088220643,1.3268429918918823,0.06415442003239123,3.6904098500000004,0.7231252053480635
GSK2801,Chromatin other,0.343947891477502,0.022868708114640698,1.0009556060123146,0.06648887427802873,2.9101955,0.7231252053480635
BEN,Unclassified,0.3505762725743896,0.02286154676719667,2.3914630548916502,0.06521133503792852,6.82152,0.7231252053480635
Mitoxantrone,DNA replication,0.3369314782230906,0.02259508738551741,2.5864266957326016,0.06706137255171109,7.6764174999999994,0.7231252053480635
YK-4-279,Other,0.3441445284243476,0.022547235135735227,1.8723901126485187,0.06551676192257616,5.4407086499999995,0.7231252053480635
Cytarabine,Other,0.35117800006362415,0.022543494320819202,2.5539752620193124,0.06419392535049154,7.272594699999999,0.7231252053480635
MK-8776,Cell cycle,0.3517803360831582,0.02240718620598526,1.857516666577368,0.06369652850831427,5.280331149999997,0.7231252053480635
Mirin,Genome integrity,0.3445987688820073,0.02218162511069215,1.3338559258691676,0.06436942645691016,3.870750699999999,0.7231252053480635
GSK2830371A,Other,0.33589722895921786,0.02217689209355503,1.2315379669200526,0.06602284919786457,3.6664129999999995,0.7231252053480635
LMP744,DNA replication,0.32974956381548925,0.022097054227498768,2.6610179763216926,0.06701162534323513,8.069815,0.7231252053480635
Avagacestat,Other,0.3490021555125686,0.02205279943336547,1.1896753194413054,0.06318814679232342,3.4087907500000005,0.7231252053480635
LJI308,PI3K/MTOR signaling,0.3519072522000211,0.021982386375612728,1.1934718387310856,0.062466420450801405,3.3914385999999976,0.7231252053480635
N25720-51-A1,Unclassified,0.33723882445884046,0.021909764752502014,1.7389640394857537,0.06496809727545493,5.156476400000001,0.7231252053480635
KRAS (G12C) Inhibitor-12,ERK MAPK signaling,0.3552217345762003,0.02157592303688264,1.6840898679038012,0.06073930994854225,4.740953899999998,0.7231252053480635
PFI-1,Chromatin other,0.33978451505143853,0.02128919756168731,1.2589483826148506,0.06265499638341208,3.7051375999999996,0.7231252053480635
RVX-208,Chromatin other,0.34037286058227617,0.021266733834428096,1.1986928049769046,0.062480697779626365,3.521704999999999,0.7231252053480635
Cisplatin,DNA replication,0.33659724228064875,0.021212279972701278,2.0459600214223843,0.06301976756843082,6.078362399999996,0.7231252053480635
IRAK4_4710,"Other, kinases",0.3476046931624864,0.021088585587381636,1.0802363317415995,0.06066829937052623,3.1076574999999997,0.7231252053480635
Camptothecin,DNA replication,0.34309507994455485,0.020984138077684712,2.0322612112827585,0.06116129115309905,5.923317849999999,0.7231252053480635
Gemcitabine,DNA replication,0.3453806374323069,0.02091851137179552,3.3058079045240345,0.06056654341514862,9.5714917,0.7231252053480635
Vinorelbine,Mitosis,0.33573803384387985,0.020787223907213295,2.318029190864802,0.06191501054920538,6.904279399999998,0.7231252053480635
Nelarabine,DNA replication,0.358713586133408,0.020566405389882848,1.1372449453818327,0.05733377877199796,3.170342549999998,0.7231252053480635
GSK2606414,Metabolism,0.3509970348948701,0.02049798568996814,1.3076926997510316,0.05839931296316408,3.7256516999999985,0.7231252053480635
UNC0379,Chromatin histone methylation,0.34314033662287524,0.020399311311114186,1.5579810019293747,0.05944888762388152,4.540361000000001,0.7231252053480635
Fulvestrant,Hormone-related,0.3410932645999323,0.02020442530076653,1.047852749494789,0.05923431330273926,3.07204175,0.7231252053480635
CPI-637,Chromatin histone methylation,0.32301635405020696,0.019861759632796405,1.570577223022705,0.06148840262654088,4.862221999999999,0.7231252053480635
KU-55933,Genome integrity,0.3283941564781924,0.019719588295257322,1.2361691316396812,0.06004853590190736,3.7642848,0.7231252053480635
Zoledronate,Other,0.3289151357598907,0.019695375283592796,0.9823844859521998,0.059879808322261266,2.986741500000001,0.7231252053480635
JQ1,Chromatin other,0.3247399363653464,0.019641674373218176,2.165397330509969,0.060484320447487076,6.668096799999997,0.7231252053480635
765771,Unclassified,0.3229927111905297,0.01963939089356907,1.1815624077922156,0.060804439893332514,3.6581704999999998,0.7231252053480635
Dactinomycin,Other,0.3240325406796508,0.019234683693741608,1.6393650175735734,0.05936034588809291,5.05926045,0.7231252053480635
50869,Unclassified,0.3306006089538805,0.019201007387888495,1.4196403399240822,0.05807916521583624,4.294125,0.7231252053480635
CZC24832,PI3K/MTOR signaling,0.3196070563063561,0.01916320165513499,1.031221164111093,0.05995863131621943,3.22652815,0.7231252053480635
Alisertib,Mitosis,0.32527943126931097,0.019144317627973535,2.4862264926688757,0.058854989856777146,7.643356,0.7231252053480635
N27922-53-1,Unclassified,0.320627916680327,0.01904747612528669,1.0398197877264055,0.05940679252916532,3.24307315,0.7231252053480635
LMB_AB1,Other,0.31850590322511246,0.019000566636751214,1.0477215058411204,0.05965530448370391,3.2894885,0.7231252053480635
ABT737,Apoptosis regulation,0.3218541377222851,0.018980274794044186,2.227483642575876,0.058971666259644284,6.920786099999999,0.7231252053480635
alpha-lipoic acid,Metabolism,0.327135334820823,0.01895168687358283,1.0305464752149112,0.057932252668342774,3.150214499999999,0.7231252053480635
Olaparib,Genome integrity,0.3247494136626786,0.018928342145899557,1.3807906657228646,0.05828599329069357,4.251864999999999,0.7231252053480635
CT7033-2,Chromatin histone methylation,0.33480461639948944,0.01883089962499463,1.2933130698388073,0.056244444379242274,3.862889,0.7231252053480635
Linsitinib,IGF1R signaling,0.32365572375879514,0.018618924765092162,1.410792126114766,0.057526944213623546,4.358928399999997,0.7231252053480635
SN-38,DNA replication,0.32858131909530014,0.018547295281928264,2.142226834645102,0.056446590856094575,6.519624549999998,0.7231252053480635
GSK343,Chromatin histone methylation,0.3242415726671688,0.018434848947797,1.1628459689775943,0.056855290936798586,3.586356799999998,0.7231252053480635
AZD5153,Chromatin other,0.3143471254597844,0.01818539032780593,2.110844405280832,0.05785130149100873,6.715011,0.7231252053480635
Cyclophosphamide,DNA replication,0.3226780860643233,0.018115510242305514,0.9323321867165548,0.05614112338169234,2.8893569999999995,0.7231252053480635
Teniposide,DNA replication,0.31300201157705637,0.018026734255744185,2.1102949312798223,0.05759303004129824,6.742113,0.7231252053480635
AZD7762,Cell cycle,0.33329819414707773,0.017917654120649728,1.5702395183982636,0.05375862946543008,4.7112152,0.7231252053480635
RO-3306,Cell cycle,0.3249761818100431,0.017911754531687762,1.6944861437857175,0.055117130221431554,5.214185649999999,0.7231252053480635
AZD5991,Apoptosis regulation,0.3238695353658575,0.017874759767608547,2.9056479710125664,0.05519123540723402,8.9716619,0.7231252053480635
Savolitinib,RTK signaling,0.33766367637177724,0.017802387808899485,1.176762132951598,0.052722247178575855,3.485012499999999,0.7231252053480635
Topotecan,DNA replication,0.3161573117948305,0.017702711802718773,2.033113141116328,0.0559933651454087,6.430701,0.7231252053480635
AZD1208,"Other, kinases",0.3060368832420948,0.017238052642575948,1.059117021265326,0.05632671611329782,3.460749599999999,0.7231252053480635
GSK2276186C,"Other, kinases",0.32576570490283974,0.017116835848426774,1.3803538278737544,0.052543394196549645,4.2372595,0.7231252053480635
Schweinfurthin A,Unclassified,0.32154751278050653,0.017060110487126724,2.3710417766169836,0.05305626636512728,7.373845799999998,0.7231252053480635
PCI-34051,Chromatin histone acetylation,0.3168038644100023,0.016961799512924897,1.319665426230763,0.053540380716357736,4.16555975,0.7231252053480635
Paclitaxel,Mitosis,0.3225238874894197,0.016901740432912492,1.7779907225470881,0.052404615870404174,5.512741199999999,0.7231252053480635
5-Fluorouracil,Other,0.3178408829291078,0.016853003738066447,1.7604870229789142,0.053023398320427496,5.5388942000000005,0.7231252053480635
CCT-018159,Protein stability and degradation,0.32896584087155,0.016816421553207304,1.4267514980930227,0.05111905086757487,4.3370809999999995,0.7231252053480635
JNK Inhibitor VIII,JNK and p38 signaling,0.32467937234252936,0.016762902727157053,0.9729828765995368,0.05162909674924643,2.9967498999999975,0.7231252053480635
Nutlin-3a (-),p53 pathway,0.3091619373071643,0.016540571184276057,1.8519336749822304,0.05350131820348364,5.990173599999999,0.7231252053480635
A-366,Chromatin histone methylation,0.3178283654412978,0.016256522394366736,1.0209635544191007,0.051148746185051504,3.212311,0.7231252053480635
